reaction_id	category	confidence	ec	orig_status	residual_before	balanced_before	residual_after	balanced_after	patch	equation_before	equation_after	stoichiometry_before	stoichiometry_after
rxn06949	proton_water	deterministic	3.-.-.-	MI:O:1|CI:-2	O:+1,charge:-2	False		True	1 H2O -> reactants; 2 H+ -> products	(1) 3'-Keto-3'-deoxy-ATP <=> (1) PPi + (1) 3'-Keto-3'-deoxy-AMP	(1) 3'-Keto-3'-deoxy-ATP + (1) H2O <=> (1) PPi + (1) 3'-Keto-3'-deoxy-AMP + (2) H+	"-1:cpd04322:0:""3'-Keto-3'-deoxy-ATP"";1:cpd00012:0:""PPi"";1:cpd04323:0:""3'-Keto-3'-deoxy-AMP"""	"-1:cpd04322:0:""3'-Keto-3'-deoxy-ATP"";1:cpd00012:0:""PPi"";1:cpd04323:0:""3'-Keto-3'-deoxy-AMP"";-1:cpd00001:0:""H2O"";2:cpd00067:0:""H+"""
rxn06962	proton_water	deterministic	1.20.4.2	MI:H:1/O:-1|CI:1	H:+1,O:-1,charge:+3	False		True	1 H2O -> products; 3 H+ -> reactants	(2) GSH + (1) Methylarsonate <=> (1) Oxidized glutathione + (1) Methylarsonite	(2) GSH + (1) Methylarsonate + (3) H+ <=> (1) Oxidized glutathione + (1) Methylarsonite + (1) H2O	"-2:cpd00042:0:""GSH"";-1:cpd04505:0:""Methylarsonate"";1:cpd00111:0:""Oxidized glutathione"";1:cpd04506:0:""Methylarsonite"""	"-2:cpd00042:0:""GSH"";-1:cpd04505:0:""Methylarsonate"";1:cpd00111:0:""Oxidized glutathione"";1:cpd04506:0:""Methylarsonite"";1:cpd00001:0:""H2O"";-3:cpd00067:0:""H+"""
rxn07171	proton_water	deterministic	null	MI:H:1/O:1|CI:-1	H:+1,O:+1,charge:-1	False		True	1 H2O -> reactants; 1 H+ -> products	(1) 2-Chloro-3-oxoadipate <=> (1) Succinate + (1) Chloroacetic acid	(1) 2-Chloro-3-oxoadipate + (1) H2O <=> (1) Succinate + (1) Chloroacetic acid + (1) H+	"-1:cpd09315:0:""2-Chloro-3-oxoadipate"";1:cpd00036:0:""Succinate"";1:cpd04135:0:""Chloroacetic acid"""	"-1:cpd09315:0:""2-Chloro-3-oxoadipate"";1:cpd00036:0:""Succinate"";1:cpd04135:0:""Chloroacetic acid"";-1:cpd00001:0:""H2O"";1:cpd00067:0:""H+"""
rxn07772	proton_water	deterministic	null	MI:H:3/O:2|CI:-1	H:+3,O:+2,charge:-1	False		True	2 H2O -> reactants; 1 H+ -> products	(1) 3,6,8-Trimethylallantoin <=> (1) Glyoxalate + (1) Methylurea + (1) 1,3-Dimethylurea	(1) 3,6,8-Trimethylallantoin + (2) H2O <=> (1) Glyoxalate + (1) Methylurea + (1) 1,3-Dimethylurea + (1) H+	"-1:cpd15078:0:""3,6,8-Trimethylallantoin"";1:cpd00040:0:""Glyoxalate"";1:cpd15079:0:""Methylurea"";1:cpd15080:0:""1,3-Dimethylurea"""	"-1:cpd15078:0:""3,6,8-Trimethylallantoin"";1:cpd00040:0:""Glyoxalate"";1:cpd15079:0:""Methylurea"";1:cpd15080:0:""1,3-Dimethylurea"";-2:cpd00001:0:""H2O"";1:cpd00067:0:""H+"""
rxn10639	proton_water	deterministic	null	MI:H:1/O:1|CI:-1	H:+1,O:+1,charge:-1	False		True	1 H2O -> reactants; 1 H+ -> products	(1) CO2 + (1) Hexacosanoyl-CoA <=> (1) H2O + (1) carboxy hexacosanoyl-CoA	(1) CO2 + (1) Hexacosanoyl-CoA <=> (1) carboxy hexacosanoyl-CoA + (1) H+	"-1:cpd00011:0:""CO2"";-1:cpd15241:0:""Hexacosanoyl-CoA"";1:cpd00001:0:""H2O"";1:cpd15937:0:""carboxy hexacosanoyl-CoA"""	"-1:cpd00011:0:""CO2"";-1:cpd15241:0:""Hexacosanoyl-CoA"";1:cpd15937:0:""carboxy hexacosanoyl-CoA"";1:cpd00067:0:""H+"""
rxn11026	proton_water	deterministic	null	MI:H:-1/O:1|CI:-3	H:-1,O:+1,charge:-3	False		True	1 H2O -> reactants; 3 H+ -> products	(1) H2O + (2) ATP + (1) CO2 + (1) L-Glutamine <=> (2) ADP + (1) Phosphate + (1) L-Glutamate + (1) Carbamoylphosphate	(2) H2O + (2) ATP + (1) CO2 + (1) L-Glutamine <=> (2) ADP + (1) Phosphate + (1) L-Glutamate + (1) Carbamoylphosphate + (3) H+	"-1:cpd00001:0:""H2O"";-2:cpd00002:0:""ATP"";-1:cpd00011:0:""CO2"";-1:cpd00053:0:""L-Glutamine"";2:cpd00008:0:""ADP"";1:cpd00009:0:""Phosphate"";1:cpd00023:0:""L-Glutamate"";1:cpd00146:0:""Carbamoylphosphate"""	"-2:cpd00001:0:""H2O"";-2:cpd00002:0:""ATP"";-1:cpd00011:0:""CO2"";-1:cpd00053:0:""L-Glutamine"";2:cpd00008:0:""ADP"";1:cpd00009:0:""Phosphate"";1:cpd00023:0:""L-Glutamate"";1:cpd00146:0:""Carbamoylphosphate"";3:cpd00067:0:""H+"""
rxn11161	proton_water	deterministic	null	MI:H:-1/O:-1|CI:1	H:-1,O:-1,charge:+1	False		True	1 H2O -> products; 1 H+ -> reactants	(3) NADH + (3) H+ + (1) Nitrite <=> (1) H2O + (3) NAD + (1) NH3	(3) NADH + (4) H+ + (1) Nitrite <=> (2) H2O + (3) NAD + (1) NH3	"-3:cpd00004:0:""NADH"";-3:cpd00067:0:""H+"";-1:cpd00075:0:""Nitrite"";1:cpd00001:0:""H2O"";3:cpd00003:0:""NAD"";1:cpd00013:0:""NH3"""	"-3:cpd00004:0:""NADH"";-4:cpd00067:0:""H+"";-1:cpd00075:0:""Nitrite"";2:cpd00001:0:""H2O"";3:cpd00003:0:""NAD"";1:cpd00013:0:""NH3"""
rxn11175	proton_water	deterministic	null	MI:H:-1/O:-1|CI:1	H:-1,O:-1,charge:+1	False		True	1 H2O -> products; 1 H+ -> reactants	(1) H2O + (1) O2 + (1) Phosphate + (1) Pyruvate <=> (1) CO2 + (1) H2O2 + (1) Acetylphosphate	(1) O2 + (1) Phosphate + (1) Pyruvate + (1) H+ <=> (1) CO2 + (1) H2O2 + (1) Acetylphosphate	"-1:cpd00001:0:""H2O"";-1:cpd00007:0:""O2"";-1:cpd00009:0:""Phosphate"";-1:cpd00020:0:""Pyruvate"";1:cpd00011:0:""CO2"";1:cpd00025:0:""H2O2"";1:cpd00196:0:""Acetylphosphate"""	"-1:cpd00007:0:""O2"";-1:cpd00009:0:""Phosphate"";-1:cpd00020:0:""Pyruvate"";1:cpd00011:0:""CO2"";1:cpd00025:0:""H2O2"";1:cpd00196:0:""Acetylphosphate"";-1:cpd00067:0:""H+"""
rxn11214	proton_water	deterministic	null	MI:O:1|CI:-2	O:+1,charge:-2	False		True	1 H2O -> reactants; 2 H+ -> products	(1) ATP + (1) L-Aspartate + (1) L-Glutamine <=> (1) PPi + (1) AMP + (1) L-Glutamate + (1) L-Asparagine	(1) ATP + (1) L-Aspartate + (1) L-Glutamine + (1) H2O <=> (1) PPi + (1) AMP + (1) L-Glutamate + (1) L-Asparagine + (2) H+	"-1:cpd00002:0:""ATP"";-1:cpd00041:0:""L-Aspartate"";-1:cpd00053:0:""L-Glutamine"";1:cpd00012:0:""PPi"";1:cpd00018:0:""AMP"";1:cpd00023:0:""L-Glutamate"";1:cpd00132:0:""L-Asparagine"""	"-1:cpd00002:0:""ATP"";-1:cpd00041:0:""L-Aspartate"";-1:cpd00053:0:""L-Glutamine"";1:cpd00012:0:""PPi"";1:cpd00018:0:""AMP"";1:cpd00023:0:""L-Glutamate"";1:cpd00132:0:""L-Asparagine"";-1:cpd00001:0:""H2O"";2:cpd00067:0:""H+"""
rxn11220	proton_water	deterministic	null	MI:H:-3/O:-1|CI:-1	H:-3,O:-1,charge:-1	False		True	1 H2O -> products; 1 H+ -> products	(1) L-Glutamate5-semialdehyde <=> (1) 1-Pyrroline-5-carboxylate	(1) L-Glutamate5-semialdehyde <=> (1) 1-Pyrroline-5-carboxylate + (1) H2O + (1) H+	"-1:cpd00858:0:""L-Glutamate5-semialdehyde"";1:cpd02431:0:""1-Pyrroline-5-carboxylate"""	"-1:cpd00858:0:""L-Glutamate5-semialdehyde"";1:cpd02431:0:""1-Pyrroline-5-carboxylate"";1:cpd00001:0:""H2O"";1:cpd00067:0:""H+"""
