reaction_id	category	confidence	ec	orig_status	residual_before	balanced_before	residual_after	balanced_after	patch	equation_before	equation_after	stoichiometry_before	stoichiometry_after
rxn02627	twoog_demethylase:2OG-dioxygenase-demethylation	high	1.14.11.31	MI:C:1/H:2	C:+1,H:+2	False		True	rebuilt: R-OCH3 + 2OG + O2 -> R-OH + formaldehyde + succinate + CO2	(1) Morphinone <=> (1) Oripavine	(1) Oripavine + (1) 2-Oxoglutarate + (1) O2 <=> (1) Morphinone + (1) Formaldehyde + (1) Succinate + (1) CO2	"-1:cpd01196:0:""Morphinone"";1:cpd03685:0:""Oripavine"""	"-1:cpd03685:0:""Oripavine"";-1:cpd00024:0:""2-Oxoglutarate"";-1:cpd00007:0:""O2"";1:cpd01196:0:""Morphinone"";1:cpd00055:0:""Formaldehyde"";1:cpd00036:0:""Succinate"";1:cpd00011:0:""CO2"""
rxn03475	twoog_demethylase:2OG-dioxygenase-demethylation	high	1.14.11.31	MI:C:1/H:2	C:+1,H:+2	False		True	rebuilt: R-OCH3 + 2OG + O2 -> R-OH + formaldehyde + succinate + CO2	(1) Neopinone <=> (1) Thebaine	(1) Thebaine + (1) 2-Oxoglutarate + (1) O2 <=> (1) Neopinone + (1) Formaldehyde + (1) Succinate + (1) CO2	"-1:cpd03682:0:""Neopinone"";1:cpd03683:0:""Thebaine"""	"-1:cpd03683:0:""Thebaine"";-1:cpd00024:0:""2-Oxoglutarate"";-1:cpd00007:0:""O2"";1:cpd03682:0:""Neopinone"";1:cpd00055:0:""Formaldehyde"";1:cpd00036:0:""Succinate"";1:cpd00011:0:""CO2"""
rxn03476	twoog_demethylase:2OG-dioxygenase-demethylation	high	1.14.11.32	MI:C:-1/H:-2	C:-1,H:-2	False		True	rebuilt: R-OCH3 + 2OG + O2 -> R-OH + formaldehyde + succinate + CO2	(1) Thebaine <=> (1) Oripavine	(1) Thebaine + (1) 2-Oxoglutarate + (1) O2 <=> (1) Oripavine + (1) Formaldehyde + (1) Succinate + (1) CO2	"-1:cpd03683:0:""Thebaine"";1:cpd03685:0:""Oripavine"""	"-1:cpd03683:0:""Thebaine"";-1:cpd00024:0:""2-Oxoglutarate"";-1:cpd00007:0:""O2"";1:cpd03685:0:""Oripavine"";1:cpd00055:0:""Formaldehyde"";1:cpd00036:0:""Succinate"";1:cpd00011:0:""CO2"""
