id	name	ec	residual	definition	candidates
rxn07634	R07843	null	C:+6,H:+10,O:+5	(1) Rhodopinal[0] => (1) Rhodopinal glucoside[0]	glucosyl (UDPglc/UDP)|mannosyl (GDPman/GDP)
rxn07698	R07908	2.4.1.-	C:+6,H:+11,O:+5,charge:+1	(1) IdB 1027[0] <=> (1) Cyanidin 5-O-glucoside[0]	glucosyl (UDPglc/UDP)|mannosyl (GDPman/GDP)
rxn07699	R07909	2.4.1.-	C:+6,H:+10,O:+5	(1) Cyanidin 5-O-glucoside[0] => (1) Cyanin[0]	glucosyl (UDPglc/UDP)|mannosyl (GDPman/GDP)
rxn07796	R08006	null	C:+6,H:+10,O:+5	(1) Isosalipurpol[0] => (1) THC 4'-glucoside[0]	glucosyl (UDPglc/UDP)|mannosyl (GDPman/GDP)
rxn07797	R08007	null	C:+6,H:+10,O:+5	(1) Eriodictyol chalcone[0] => (1) PHC 4'-O-glucoside[0]	glucosyl (UDPglc/UDP)|mannosyl (GDPman/GDP)
rxn07802	R08012	null	C:+1,H:+2	(1) Eriodictyol[0] <= (1) Homoeriodictyol[0]	methyl (SAM/SAH)
rxn07818	R08028	null	C:+2,H:+2,O:+1	(1) Pinobanksin[0] => (1) Pinobanksin 3-O-acetate[0]	acetyl (AcCoA/CoA)
rxn07819	R08029	null	C:+1,H:+2	(1) Pinocembrin[0] <= (1) Pinostrobin[0]	methyl (SAM/SAH)
rxn07821	R08031	null	C:+1,H:+2	(1) Eriodictyol chalcone[0] <= (1) Homoeriodictyol chalcone[0]	methyl (SAM/SAH)
rxn08605	1,4-alpha-glucan branching enzyme (glycogen -> bglycogen)	2.4.1.18	C:+6,H:+10,O:+5	(1) Glycogen[0] <=> (1) branching glycogen[0]	glucosyl (UDPglc/UDP)|mannosyl (GDPman/GDP)
rxn08615	glycogen synthase (ADPGlc)	2.4.1.21	C:-6,H:-10,O:-5	(1) ADPglucose[0] + (1) glycogen(n-1)[0] <=> (1) ADP[0] + (1) Glycogen[0]	glucosyl (UDPglc/UDP)|mannosyl (GDPman/GDP)
rxn09398	glycogen synthase (UDPGlc)	null	C:-6,H:-10,O:-5	(1) UDP-glucose[0] + (1) glycogen(n-1)[0] <=> (1) UDP[0] + (1) Glycogen[0]	glucosyl (UDPglc/UDP)|mannosyl (GDPman/GDP)
rxn10533	glucan 1,4-alpha-glucosidase	null	C:+6,H:+10,O:+5	(1) H2O[0] + (1) Glycogen[0] <=> (1) D-Glucose[0] + (1) glycogen(n-1)[0]	glucosyl (UDPglc/UDP)|mannosyl (GDPman/GDP)
rxn10680	tri-acyl-trehalose-sulfonation	null	C:-1,H:+1,charge:+3	(1) TRHL[0] + (2) ocdca[0] + (1) tri-methyl lignoceric acid[0] <=> (3) H2O[0] + (1) tri-acyl trehalose[0]	methyl (SAM/SAH)
rxn10712	fatty-acid-synthase---tri-methyl-lignoceric-acid	null	C:+1,H:+2	(2) NADPH[0] + (3) H+[0] + (1) D-methylmalonyl-CoA[0] + (1) di-methyl behenic acid[0] <=> (1) H2O[0] + (2) NAD	methyl (SAM/SAH)
rxn10739	fatty-acid-synthase---tetra-methyl-hexacosanoic-acid	null	C:-1,H:-2	(2) NADPH[0] + (3) H+[0] + (1) D-methylmalonyl-CoA[0] + (1) tri-methyl lignoceric acid[0] <=> (1) H2O[0] + (2)	methyl (SAM/SAH)
