id	name	ec	residual	definition	candidates
rxn23776	RXN-2163.c	null	C:+1,H:+2	(1) 4-Hydroxyglucobrassicin[0] <= (1) 4-Methoxyglucobrassicin[0]	methyl (SAM/SAH)
rxn23807	RXN-2785.c	null	C:+2,H:+4,O:+2	(1) Glyceraldehyde3-phosphate[0] => (1) D-Ribulose5-phosphate[0]	acetyl (AcCoA/CoA)
rxn23846	RXN-3202.c	null	C:+6,H:+10,O:+5	(1) 3-hydroxy-2-indolone-3-acetyl-aspartic acid[0] => (1) 3-(O-beta-glucosyl)-2-indolone-3-acetyl-aspartic aci	glucosyl (UDPglc/UDP)|mannosyl (GDPman/GDP)
rxn23847	RXN-3241.c	null	C:+6,H:+11,O:+5,charge:+1	(1) 2-indolinone-3-acetate[0] => (1) 2-OXINDOLE-3-ACETYL-HEXOSE[0]	glucosyl (UDPglc/UDP)|mannosyl (GDPman/GDP)
rxn24701	RXN-8219.c	null	C:+1,H:+2	(1) 17-O-Acetylnorajmaline[0] <=> (1) acetylajmaline[0]	methyl (SAM/SAH)
rxn24702	RXN-8220.c	null	C:-2,H:-2,O:-1	(1) 17-O-Acetylnorajmaline[0] <=> (1) Norajmaline[0]	acetyl (AcCoA/CoA)
rxn24703	RXN-8221.c	null	C:+1,H:+2	(1) Norajmaline[0] <=> (1) Ajmaline[0]	methyl (SAM/SAH)
rxn24704	RXN-8222.c	null	C:-2,H:-2,O:-1	(1) acetylajmaline[0] <=> (1) Ajmaline[0]	acetyl (AcCoA/CoA)
rxn25414	RXN-9170.c	null	C:+1,H:+2	(1) 2-oxopenta-3,4-dienoate[0] <=> (1) 2-(2-methylidenecyclopropyl)-2-oxoacetate[0]	methyl (SAM/SAH)
rxn25437	RXN-9197.c	null	C:+1,H:+4,O:+1	(1) 4-(1-methyl-2-pyrrolidinyl)-3-oxobutanoyl-CoA[0] => (1) CoA[0] + (1) 4-(1-methyl-2-pyrrolidinyl)-3-oxobuta	methyl (SAM/SAH)
rxn25771	RXN-9691.c	null	C:+2,H:+4,O:+2	(1) Angelicin[0] => (1) Pimpinellin[0]	acetyl (AcCoA/CoA)
rxn26823	RXN66-167.c	null	C:+1,H:+3,charge:+1	(1) cotinine[0] <= (1) N-methylcotininium ion[0]	methyl (SAM/SAH)
rxn28416	RXN-9027.c	null	C:+1,H:+5,O:+1,charge:+1	(1) Phosphoenolpyruvate[0] <= (1) D-Erythrose4-phosphate[0]	methyl (SAM/SAH)
rxn28420	RXN-9043.c	null	C:-2,H:-2,O:-1	(1) 3,4,6-trihydroxy-cis-cinnamate[0] <= (1) Protocatechuate[0]	acetyl (AcCoA/CoA)
rxn28426	RXN-9108.c	null	C:+1,H:+3,charge:+1	(1) 1,6,7,8-tetrahydroxy-2-methylanthraquinone[0] <= (1) 1,6,8-trihydroxy-7-methoxy-2-methylanthraquinone[0]	methyl (SAM/SAH)
rxn28427	RXN-9109.c	null	C:-1,H:-2	(1) 1,6,8-trihydroxy-7-methoxy-2-methylanthraquinone[0] => (1) 1,3,8-trihydroxy-2-methoxyanthraquinone[0]	methyl (SAM/SAH)
rxn28429	RXN-9111.c	null	C:+1,H:+2	(1) 1,3,5,8-tetrahydroxy-2-methoxyanthraquinone[0] <= (1) 1,5,7-trihydroxy-6,8-dimethoxyanthraquinone[0]	methyl (SAM/SAH)
rxn28430	RXN-9112.c	null	C:+1,H:+2	(1) 1,5,7-trihydroxy-6,8-dimethoxyanthraquinone[0] <= (1) 1,7-dihydroxy-5,6,8-trimethoxyanthraquinone[0]	methyl (SAM/SAH)
rxn28431	RXN-9113.c	null	C:+1,H:+2	(1) 1,7-dihydroxy-5,6,8-trimethoxyanthraquinone[0] <= (1) 5-hydroxy-1,2,3,4-tetramethoxyanthraquinone[0]	methyl (SAM/SAH)
rxn28432	RXN-9114.c	null	C:+1,H:+2	(1) 1,6,7-trihydroxy-2-methylanthraquinone[0] <= (1) 1,7-dihydroxy-6-methoxy-2-methylanthraquinone[0]	methyl (SAM/SAH)
rxn28434	RXN-9116.c	null	C:+1,H:+2	(1) 1,7,8-trihydroxy-6-methoxy-2-methylanthraquinone[0] <= (1) 1,7-dihydroxy-6,8-dimethoxy-2-methylanthraquino	methyl (SAM/SAH)
rxn28436	RXN-9118.c	null	C:+1,H:+2	(1) 1,4,7-trihydroxy-6,8-dimethoxy-2methylanthraquinone[0] <= (1) 1,4-dihydroxy-6,7,8-trimethoxy-2-methylanthr	methyl (SAM/SAH)
rxn28441	RXN-9123.c	null	C:-1,H:-2	(1) 1,7-dihydroxy-6,8-dimethoxy-2-methylanthraquinone[0] => (1) 2,8-dihydroxy-1,3-dimethoxyanthraquinone[0]	methyl (SAM/SAH)
rxn28444	RXN-9126.c	null	C:-1,H:-2	(1) 1,4,7-trihydroxy-6,8-dimethoxy-2methylanthraquinone[0] => (1) 2,5,8-trihydroxy-1,3-dimethoxyanthraquinone[	methyl (SAM/SAH)
rxn28839	RXN3O-154.c	null	C:-1,H:-2	(1) 14-Demethyllanosterol[0] => (1) 4-methylzymosterol[0]	methyl (SAM/SAH)
rxn30178	Phosphoacetylglucosamine mutase	null	C:-2,H:-1,O:-1,charge:+1	(1) N-Acetyl-D-glucosamine1-phosphate[0] <= (1) D-Glucosamine phosphate[0]	acetyl (AcCoA/CoA)
rxn30877	RXN-6550	null	C:-1,H:-3,charge:-1	(1) O2[0] + (1) 2-Oxoglutarate[0] + (1) GA4[0] <=> (1) CO2[0] + (1) Succinate[0] + (1) Gibberellin A34[0]	methyl (SAM/SAH)
rxn31002	RXN1F-165	null	C:+1,H:+3,charge:+1	(1) O2[0] + (1) 2-Oxoglutarate[0] + (1) Gibberellin A9[0] <=> (1) CO2[0] + (1) Succinate[0] + (1) GA4[0]	methyl (SAM/SAH)
rxn32348	RXN-1443	2.8.2.-	C:-6,H:-12,O:-5,charge:-2	(1) 3-phosphoadenylylsulfate[0] + (1) Indolylmethyl-desulfoglucosinolate[0] <= (1) Adenosine 3-5-bisphosphate[	glucosyl (UDPglc/UDP)|mannosyl (GDPman/GDP)
rxn39491	acyl-CoA:malonyl-CoA C-acyltransferase(decarboxylating, oxoacyl- and enoyl-reducing)	null	C:-1,H:-3,charge:-1	(2) NADPH[0] + (1) Acetyl-CoA[0] + (4) H+[0] + (1) Malonyl-CoA[0] <=> (1) H2O[0] + (2) NADP[0] + (1) CoA[0] + 	methyl (SAM/SAH)
rxn39893		null	C:-1,H:-4,O:-1	(1) Methadone[0] <= (1) 2-Ethylidene-1,5-dimethyl-3,3-diphenylpyrrolidine[0]	methyl (SAM/SAH)
rxn39894		null	C:-1,H:-3,charge:-1	(1) 2-Ethylidene-1,5-dimethyl-3,3-diphenylpyrrolidine[0] => (1) EMDP[0]	methyl (SAM/SAH)
rxn40911		2.4.1.319|2.4.1.340	C:+6,H:+10,O:+5	(1) Phosphate[0] => (1) D-Mannose1-phosphate[0]	glucosyl (UDPglc/UDP)|mannosyl (GDPman/GDP)
rxn41898		null	C:+1,H:+3,charge:+1	(1) Fusaric acid[0] <= (1) methyl fusarate[0]	methyl (SAM/SAH)
rxn41916		2.4.1.9	C:-6,H:-10,O:-5	(1) Sucrose[0] <= (1) Glucose[0]	glucosyl (UDPglc/UDP)|mannosyl (GDPman/GDP)
rxn42088		null	C:-1,H:-4,O:-1	(1) Ethanol[0] + (1) Cocaine[0] <= (1) Cocaethylene[0]	methyl (SAM/SAH)
rxn42474		2.4.1.205	C:-6,H:-10,O:-5	(1) UDP-D-galactopyranose[0] <= (1) UDP[0]	glucosyl (UDPglc/UDP)|mannosyl (GDPman/GDP)
rxn42841		null	C:+6,H:+10,O:+5	(1) D-Glucose[0] => (1) Maltose[0]	glucosyl (UDPglc/UDP)|mannosyl (GDPman/GDP)
rxn43786		null	C:-2,H:-2,O:-1	(1) 4,6-pyruvyl-alpha-D-galactosyl-(1->4)-beta-D-glucoronosyl-(1->3)-2-O-acetyl-alpha-D-galactosyl-(1->3)-alph	acetyl (AcCoA/CoA)
rxn44761		null	C:-2,H:-2,O:-1	(1) 15-ADON[0] <=> (1) DON[0]	acetyl (AcCoA/CoA)
rxn44814		null	C:+1,H:+1,O:-1,charge:+1	(1) D-Glucose[0] + (1) hexaketide pyrone[0] <= (1) aloenin[0]	methyl (SAM/SAH)
rxn45109		2.4.1.334	C:+6,H:+10,O:+5	(1) Phosphate[0] => (1) beta-D-Glucose 1-phosphate[0]	glucosyl (UDPglc/UDP)|mannosyl (GDPman/GDP)
rxn45120		null	C:+1,H:+2	(1) Obtusifoliol[0] <=> (1) 4alpha,14alpha-dimethyl-porifersta-8,25(27)-dienol[0]	methyl (SAM/SAH)
rxn45136		null	C:-2,H:-2,O:-1	(1) 4-acetylnivalenol[0] <=> (1) nivalenol[0]	acetyl (AcCoA/CoA)
rxn47533		null	C:-1,H:-2	(1) Laudanosine[0] => (1) (S)-tetrahydropapaverine[0]	methyl (SAM/SAH)
rxn47547		null	C:-1,H:-2	(1) (24R)-24-Methylcycloarta-25-en-3-beta-ol[0] <=> (1) 4alpha, 14alpha-dimethyl ergosta-8,25(27)-dienol[0]	methyl (SAM/SAH)
rxn47934		null	C:-2,H:-2,O:-1	(1) 3-ADON[0] <=> (1) DON[0]	acetyl (AcCoA/CoA)
rxn59459		null	C:-1,H:-3,charge:-1	(1) (2<i>Z</i>,4<i>E</i>)-4-hydroxy-6-methoxy-6-oxohexa-2,4-dienoate[0] <=> (1) Maleylacetate[0]	methyl (SAM/SAH)
rxn60265		null	C:-2	(1) Prostaglandin D2[0] <=> (1) 2,3-dinor-11-epi-prostaglandin F2alpha[0]	acetyl (AcCoA/CoA)
