id	status	bucket	n_species	n_generic	elem_imbalance	charge_imbalance	is_transport
rxn01402	OK	OK	4	0		0.0	0
rxn01403	OK	OK	7	0		0.0	0
rxn01404	OK	OK	4	0		0.0	0
rxn01405	OK	OK	4	0		0.0	0
rxn01406	OK	OK	5	0		0.0	0
rxn01407	OK	OK	5	0		0.0	0
rxn01408	OK	OK	4	0		0.0	0
rxn01409	OK	OK	4	0		0.0	0
rxn01410	OK	OK	3	0		0.0	0
rxn01411	OK	OK	5	0		0.0	0
rxn01412	OK	OK	5	0		0.0	0
rxn01413	OK	OK	4	0		0.0	0
rxn01414	OK	OK	5	0		0.0	0
rxn01415	OK	OK	5	0		0.0	0
rxn01416	OK	OK	5	0		0.0	0
rxn01417	OK	OK	5	0		0.0	0
rxn01418	OK	OK	6	0		0.0	0
rxn01419	OK	OK	5	0		0.0	0
rxn01420	OK	OK	4	0		0.0	0
rxn01421	OK	OK	7	0		0.0	0
rxn01422	OK	OK	7	0		0.0	0
rxn01423	OK	OK	4	0		0.0	0
rxn01424	OK	OK	5	0		0.0	0
rxn01425	OK	OK	6	0		0.0	0
rxn01426	OK	OK	5	0		0.0	0
rxn01427	OK	OK	7	0		0.0	0
rxn01428	OK	OK	5	0		0.0	0
rxn01429	OK	OK	4	0		0.0	0
rxn01430	OK	OK	4	0		0.0	0
rxn01431	OK	OK	4	0		0.0	0
rxn01432	MI:C:-2/H:-3/O:-1/R:1	A_no_formula	4	1	"{""C"": -44.0, ""H"": -77.0, ""N"": -5.0, ""O"": -19.0}"	0.0	0
rxn01433	MI:C:-8/H:-18/N:-1/O:-1/P:1|CI:-2	F_heavy_imbalance	2	0	"{""C"": -8.0, ""H"": -18.0, ""N"": -1.0, ""O"": -1.0, ""P"": 1.0}"	-2.0	0
rxn01434	OK	OK	7	0		0.0	0
rxn01435	OK	OK	4	0		0.0	0
rxn01436	OK	OK	4	0		0.0	0
rxn01437	OK	OK	5	0		0.0	0
rxn01438	OK	OK	7	0		0.0	0
rxn01439	OK	OK	5	0		0.0	0
rxn01440	OK	OK	6	0		0.0	0
rxn01441	OK	OK	4	0		0.0	0
rxn01442	OK	OK	5	0		0.0	0
rxn01443	OK	OK	5	0		0.0	0
rxn01444	OK	OK	5	0		0.0	0
