id	name	ec	current_assignment	alternatives	residual	definition
rxn34130	JM_Cre_651	null	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	O:-3,P:-1,charge:+1	(1) ATP[0] + (1) L-Tyrosine[0] <= (1) ADP[0] + (1) L-Tyrosine[1]
rxn34131	JM_Cre_652	null	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	O:-3,P:-1,charge:+1	(1) ATP[0] + (1) L-Tyrosine[1] <= (1) ADP[0] + (1) L-Tyrosine[0]
rxn34132	JM_Cre_653	null	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	O:-3,P:-1,charge:+1	(1) ATP[0] + (1) Lysine[0] <= (1) ADP[0] + (1) Lysine[1]
rxn34133	JM_Cre_654	null	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	O:-3,P:-1,charge:+1	(1) ATP[0] + (1) Lysine[1] <= (1) ADP[0] + (1) Lysine[0]
rxn34134	JM_Cre_655	null	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	O:-3,P:-1,charge:+1	(1) ATP[0] + (1) Histidine[0] <= (1) ADP[0] + (1) Histidine[1]
rxn34135	JM_Cre_656	null	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	O:-3,P:-1,charge:+1	(1) ATP[0] + (1) Histidine[1] <= (1) ADP[0] + (1) Histidine[0]
rxn34136	JM_Cre_657	null	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	O:-3,P:-1,charge:+1	(1) ATP[0] + (1) Amino acid(Arg-)[0] <= (1) ADP[0] + (1) Amino acid(Arg-)[1]
rxn34137	JM_Cre_658	null	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	O:-3,P:-1,charge:+1	(1) ATP[0] + (1) Amino acid(Arg-)[1] <= (1) ADP[0] + (1) Amino acid(Arg-)[0]
rxn35568	RXN-5103	null	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	O:+3,P:+1,charge:-1	(1) (E)-geranyl phosphate[0] => (1) PPi[0] + (1) CPD-4893[0]
rxn35569	RXN-5109	null	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	O:+3,P:+1,charge:-1	(1) (E)-geranyl phosphate[0] => (1) PPi[0] + (1) beta-Ocimene[0]
rxn35570	RXN-5123	null	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	O:+3,P:+1,charge:-1	(1) (E)-geranyl phosphate[0] => (1) PPi[0] + (1) (Z)-beta-ocimene[0]
rxn39098	RXN-5106	null	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	O:+3,P:+1,charge:-1	(1) (E)-geranyl phosphate[0] <=> (1) PPi[0] + (1) alpha-Pinene[0]
rxn39099	RXN-5107	null	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	O:+3,P:+1,charge:-1	(1) (E)-geranyl phosphate[0] <=> (1) PPi[0] + (1) beta-Pinene[0]
rxn39100	RXN-5108	null	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	O:+3,P:+1,charge:-1	(1) (E)-geranyl phosphate[0] => (1) PPi[0] + (1) Terpinolene[0]
rxn39101	RXN-5110	null	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	O:+3,P:+1,charge:-1	(1) (E)-geranyl phosphate[0] => (1) PPi[0] + (1) Myrcene[0]
rxn49477	22452	null	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	O:-3,P:-1,charge:+1	(1) H2O[0] + (1) (Phosphate)n[0] <=> (2) Phosphate[0] + (1) H+[0]
rxn53888	55404	null	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	O:-3,P:-1,charge:+1	(1) UTP[0] <=> (1) UDP[0]
rxn53889	55408	null	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	O:-3,P:-1,charge:+1	(1) CTP[0] <=> (1) CDP[0]
rxn53890	55412	null	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	O:-3,P:-1,charge:+1	(1) GTP[0] <=> (1) GDP[0]
rxn54354	57820	null	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	H:-1,O:-3,P:-1	(1) ADP[0] <=> (1) AMP[0]
rxn57261		null	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	H:-1,O:+3,P:+1,charge:-2	(1) NAD[0] <=> (1) NADP[0]
rxn58969		null	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	H:-1,O:+3,P:+1,charge:-2	(1) NADH[0] <=> (1) NADPH[0]
