id	orig_status	residual	co_substrate	patch	confidence	ec	definition	corrected_stoichiometry
rxn34134	MI:O:-3/P:-1|CI:1	O:-3,P:-1,charge:+1	Pi	1 Pi -> products; 1 H2O -> reactants; 1 H+ -> products	review	null	(1) ATP[0] + (1) Histidine[0] <= (1) ADP[0] + (1) Histidine[1]	"-1:cpd00002:0:""ATP"";-1:cpd00572:0:""Histidine"";1:cpd00008:0:""ADP"";1:cpd00572:1:""Histidine"";1:cpd00009:0:""Pi"";-1:cpd00001:0:""H2O"";1:cpd00067:0:""H+"""
rxn34135	MI:O:-3/P:-1|CI:1	O:-3,P:-1,charge:+1	Pi	1 Pi -> products; 1 H2O -> reactants; 1 H+ -> products	review	null	(1) ATP[0] + (1) Histidine[1] <= (1) ADP[0] + (1) Histidine[0]	"-1:cpd00002:0:""ATP"";-1:cpd00572:1:""Histidine"";1:cpd00008:0:""ADP"";1:cpd00572:0:""Histidine"";1:cpd00009:0:""Pi"";-1:cpd00001:0:""H2O"";1:cpd00067:0:""H+"""
rxn34136	MI:O:-3/P:-1|CI:1	O:-3,P:-1,charge:+1	Pi	1 Pi -> products; 1 H2O -> reactants; 1 H+ -> products	review	null	(1) ATP[0] + (1) Amino acid(Arg-)[0] <= (1) ADP[0] + (1) Amino acid(Arg-)[1]	"-1:cpd00002:0:""ATP"";-1:cpd19021:0:""Amino acid(Arg-)"";1:cpd00008:0:""ADP"";1:cpd19021:1:""Amino acid(Arg-)"";1:cpd00009:0:""Pi"";-1:cpd00001:0:""H2O"";1:cpd00067:0:""H+"""
rxn34137	MI:O:-3/P:-1|CI:1	O:-3,P:-1,charge:+1	Pi	1 Pi -> products; 1 H2O -> reactants; 1 H+ -> products	review	null	(1) ATP[0] + (1) Amino acid(Arg-)[1] <= (1) ADP[0] + (1) Amino acid(Arg-)[0]	"-1:cpd00002:0:""ATP"";-1:cpd19021:1:""Amino acid(Arg-)"";1:cpd00008:0:""ADP"";1:cpd19021:0:""Amino acid(Arg-)"";1:cpd00009:0:""Pi"";-1:cpd00001:0:""H2O"";1:cpd00067:0:""H+"""
rxn35568	MI:O:3/P:1|CI:-1	O:+3,P:+1,charge:-1	Pi	1 Pi -> reactants; 1 H2O -> products; 1 H+ -> reactants	review	null	(1) (E)-geranyl phosphate[0] => (1) PPi[0] + (1) CPD-4893[0]	"-1:cpd23795:0:""(E)-geranyl phosphate"";1:cpd00012:0:""PPi"";1:cpd24545:0:""CPD-4893"";-1:cpd00009:0:""Pi"";1:cpd00001:0:""H2O"";-1:cpd00067:0:""H+"""
rxn35569	MI:O:3/P:1|CI:-1	O:+3,P:+1,charge:-1	Pi	1 Pi -> reactants; 1 H2O -> products; 1 H+ -> reactants	review	null	(1) (E)-geranyl phosphate[0] => (1) PPi[0] + (1) beta-Ocimene[0]	"-1:cpd23795:0:""(E)-geranyl phosphate"";1:cpd00012:0:""PPi"";1:cpd06763:0:""beta-Ocimene"";-1:cpd00009:0:""Pi"";1:cpd00001:0:""H2O"";-1:cpd00067:0:""H+"""
rxn35570	MI:O:3/P:1|CI:-1	O:+3,P:+1,charge:-1	Pi	1 Pi -> reactants; 1 H2O -> products; 1 H+ -> reactants	review	null	(1) (E)-geranyl phosphate[0] => (1) PPi[0] + (1) (Z)-beta-ocimene[0]	"-1:cpd23795:0:""(E)-geranyl phosphate"";1:cpd00012:0:""PPi"";1:cpd24548:0:""(Z)-beta-ocimene"";-1:cpd00009:0:""Pi"";1:cpd00001:0:""H2O"";-1:cpd00067:0:""H+"""
rxn39098	MI:O:3/P:1|CI:-1	O:+3,P:+1,charge:-1	Pi	1 Pi -> reactants; 1 H2O -> products; 1 H+ -> reactants	review	null	(1) (E)-geranyl phosphate[0] <=> (1) PPi[0] + (1) alpha-Pinene[0]	"-1:cpd23795:0:""(E)-geranyl phosphate"";1:cpd00012:0:""PPi"";1:cpd03749:0:""alpha-Pinene"";-1:cpd00009:0:""Pi"";1:cpd00001:0:""H2O"";-1:cpd00067:0:""H+"""
rxn39099	MI:O:3/P:1|CI:-1	O:+3,P:+1,charge:-1	Pi	1 Pi -> reactants; 1 H2O -> products; 1 H+ -> reactants	review	null	(1) (E)-geranyl phosphate[0] <=> (1) PPi[0] + (1) beta-Pinene[0]	"-1:cpd23795:0:""(E)-geranyl phosphate"";1:cpd00012:0:""PPi"";1:cpd03748:0:""beta-Pinene"";-1:cpd00009:0:""Pi"";1:cpd00001:0:""H2O"";-1:cpd00067:0:""H+"""
rxn39100	MI:O:3/P:1|CI:-1	O:+3,P:+1,charge:-1	Pi	1 Pi -> reactants; 1 H2O -> products; 1 H+ -> reactants	review	null	(1) (E)-geranyl phosphate[0] => (1) PPi[0] + (1) Terpinolene[0]	"-1:cpd23795:0:""(E)-geranyl phosphate"";1:cpd00012:0:""PPi"";1:cpd03620:0:""Terpinolene"";-1:cpd00009:0:""Pi"";1:cpd00001:0:""H2O"";-1:cpd00067:0:""H+"""
rxn39101	MI:O:3/P:1|CI:-1	O:+3,P:+1,charge:-1	Pi	1 Pi -> reactants; 1 H2O -> products; 1 H+ -> reactants	review	null	(1) (E)-geranyl phosphate[0] => (1) PPi[0] + (1) Myrcene[0]	"-1:cpd23795:0:""(E)-geranyl phosphate"";1:cpd00012:0:""PPi"";1:cpd03619:0:""Myrcene"";-1:cpd00009:0:""Pi"";1:cpd00001:0:""H2O"";-1:cpd00067:0:""H+"""
rxn49477	MI:O:-3/P:-1|CI:1	O:-3,P:-1,charge:+1	Pi	1 Pi -> products; 1 H2O -> reactants; 1 H+ -> products	review	null	(1) H2O[0] + (1) (Phosphate)n[0] <=> (2) Phosphate[0] + (1) H+[0]	"-2:cpd00001:0:""H2O"";-1:cpd11672:0:""(Phosphate)n"";3:cpd00009:0:""Phosphate"";2:cpd00067:0:""H+"""
rxn53888	MI:O:-3/P:-1|CI:1	O:-3,P:-1,charge:+1	Pi	1 Pi -> products; 1 H2O -> reactants; 1 H+ -> products	review	null	(1) UTP[0] <=> (1) UDP[0]	"-1:cpd00062:0:""UTP"";1:cpd00014:0:""UDP"";1:cpd00009:0:""Pi"";-1:cpd00001:0:""H2O"";1:cpd00067:0:""H+"""
rxn53889	MI:O:-3/P:-1|CI:1	O:-3,P:-1,charge:+1	Pi	1 Pi -> products; 1 H2O -> reactants; 1 H+ -> products	review	null	(1) CTP[0] <=> (1) CDP[0]	"-1:cpd00052:0:""CTP"";1:cpd00096:0:""CDP"";1:cpd00009:0:""Pi"";-1:cpd00001:0:""H2O"";1:cpd00067:0:""H+"""
rxn53890	MI:O:-3/P:-1|CI:1	O:-3,P:-1,charge:+1	Pi	1 Pi -> products; 1 H2O -> reactants; 1 H+ -> products	review	null	(1) GTP[0] <=> (1) GDP[0]	"-1:cpd00038:0:""GTP"";1:cpd00031:0:""GDP"";1:cpd00009:0:""Pi"";-1:cpd00001:0:""H2O"";1:cpd00067:0:""H+"""
rxn54354	MI:H:-1/O:-3/P:-1	H:-1,O:-3,P:-1	Pi	1 Pi -> products; 1 H2O -> reactants; 2 H+ -> products	review	null	(1) ADP[0] <=> (1) AMP[0]	"-1:cpd00008:0:""ADP"";1:cpd00018:0:""AMP"";1:cpd00009:0:""Pi"";-1:cpd00001:0:""H2O"";2:cpd00067:0:""H+"""
rxn57261	MI:H:-1/O:3/P:1|CI:-2	H:-1,O:+3,P:+1,charge:-2	Pi	1 Pi -> reactants; 1 H2O -> products	review	null	(1) NAD[0] <=> (1) NADP[0]	"-1:cpd00003:0:""NAD"";1:cpd00006:0:""NADP"";-1:cpd00009:0:""Pi"";1:cpd00001:0:""H2O"""
rxn58969	MI:H:-1/O:3/P:1|CI:-2	H:-1,O:+3,P:+1,charge:-2	Pi	1 Pi -> reactants; 1 H2O -> products	review	null	(1) NADH[0] <=> (1) NADPH[0]	"-1:cpd00004:0:""NADH"";1:cpd00005:0:""NADPH"";-1:cpd00009:0:""Pi"";1:cpd00001:0:""H2O"""
rxn11180	MI:O:-3/S:-1|CI:1	O:-3,S:-1	Sulfate	1 Sulfate -> products; 1 H2O -> reactants; 2 H+ -> products	review	null	(1) S-sulfocysteine[0] <=> (1) L-Cysteine[0]	"-1:cpd03456:0:""S-sulfocysteine"";1:cpd00084:0:""L-Cysteine"";1:cpd00048:0:""Sulfate"";-1:cpd00001:0:""H2O"";2:cpd00067:0:""H+"""
