id	orig_status	residual	co_substrate	patch	confidence	ec	definition	corrected_stoichiometry
rxn06121	MI:O:-3/P:-1|CI:1	O:-3,P:-1,charge:+1	Pi	1 Pi -> products; 1 H2O -> reactants; 1 H+ -> products	low	2.7.4.17	(1) 1,3-Bisphospho-D-glycerate[0] <= (1) 3-Phosphoglycerate[0]	"-1:cpd00203:0:""1,3-Bisphospho-D-glycerate"";1:cpd00169:0:""3-Phosphoglycerate"";1:cpd00009:0:""Pi"";-1:cpd00001:0:""H2O"";1:cpd00067:0:""H+"""
rxn11769	MI:H:1/O:3/P:1|CI:-1	H:+1,O:+3,P:+1	Pi	1 Pi -> reactants; 1 H2O -> products; 2 H+ -> reactants	low	2.7.4.-	(1) 6-Thioinosine 5'-monophosphate[0] => (1) 6-Thioinosine-5'-diphosphate[0]	"-1:cpd02832:0:""6-Thioinosine 5'-monophosphate"";1:cpd16420:0:""6-Thioinosine-5'-diphosphate"";-1:cpd00009:0:""Pi"";1:cpd00001:0:""H2O"";-2:cpd00067:0:""H+"""
rxn11770	MI:O:3/P:1|CI:-1	O:+3,P:+1,charge:-1	Pi	1 Pi -> reactants; 1 H2O -> products; 1 H+ -> reactants	low	2.7.4.-	(1) 6-Thioinosine-5'-diphosphate[0] => (1) 6-Thioinosine-5'-triphosphate[0]	"-1:cpd16420:0:""6-Thioinosine-5'-diphosphate"";1:cpd16421:0:""6-Thioinosine-5'-triphosphate"";-1:cpd00009:0:""Pi"";1:cpd00001:0:""H2O"";-1:cpd00067:0:""H+"""
rxn15314	MI:H:-1/O:3/P:1|CI:-2	H:-1,O:+3,P:+1,charge:-2	Pi	1 Pi -> reactants; 1 H2O -> products	low	2.7.1.63	(1) alpha-D-Glucose[0] => (1) alpha-D-Glucose 6-phosphate[0]	"-1:cpd19001:0:""alpha-D-Glucose"";1:cpd19006:0:""alpha-D-Glucose 6-phosphate"";-1:cpd00009:0:""Pi"";1:cpd00001:0:""H2O"""
rxn17702	MI:H:-1/O:-3/P:-1	H:-1,O:-3,P:-1	Pi	1 Pi -> products; 1 H2O -> reactants; 2 H+ -> products	low	2.7.4.20	(1) Dolichyl diphosphate[0] <= (1) DOLICHOLP[0]	"-1:cpd11713:0:""Dolichyl diphosphate"";1:cpd26919:0:""DOLICHOLP"";1:cpd00009:0:""Pi"";-1:cpd00001:0:""H2O"";2:cpd00067:0:""H+"""
rxn31774	MI:O:3/P:1|CI:-1	O:+3,P:+1,charge:-1	Pi	1 Pi -> reactants; 1 H2O -> products; 1 H+ -> reactants	low	4.2.3.-	(1) H2O[0] + (1) (E)-geranyl phosphate[0] => (1) PPi[0] + (1) Geraniol[0]	"-1:cpd23795:0:""(E)-geranyl phosphate"";1:cpd00012:0:""PPi"";1:cpd01062:0:""Geraniol"";-1:cpd00009:0:""Pi"";-1:cpd00067:0:""H+"""
rxn32442	MI:O:3/P:1|CI:-1	O:+3,P:+1,charge:-1	Pi	1 Pi -> reactants; 1 H2O -> products; 1 H+ -> reactants	low	2.5.1.10	(1) Isopentenyldiphosphate[0] + (1) (E)-geranyl phosphate[0] => (1) PPi[0] + (1) Farnesyldiphosphate	"-1:cpd00113:0:""Isopentenyldiphosphate"";-1:cpd23795:0:""(E)-geranyl phosphate"";1:cpd00012:0:""PPi"";1:cpd00350:0:""Farnesyldiphosphate"";-1:cpd00009:0:""Pi"";1:cpd00001:0:""H2O"";-1:cpd00067:0:""H+"""
rxn33850	MI:H:-2/O:-4/P:-1|CI:1	H:-2,O:-4,P:-1,charge:+1	Pi	1 Pi -> products; 1 H+ -> products	low	6.4.1.1	(1) ATP[0] + (1) Pyruvate[0] + (1) H2CO3[0] <= (1) ADP[0] + (1) Oxaloacetate[0]	"-1:cpd00002:0:""ATP"";-1:cpd00020:0:""Pyruvate"";-1:cpd00242:0:""H2CO3"";1:cpd00008:0:""ADP"";1:cpd00032:0:""Oxaloacetate"";1:cpd00009:0:""Pi"";1:cpd00067:0:""H+"""
rxn33854	MI:H:-1/O:-4/P:-1|CI:2	H:-1,O:-4,P:-1,charge:+2	Pi	1 Pi -> products	low	6.2.1.5	(1) ATP[0] + (1) CoA[0] + (1) Succinate[0] <= (1) ADP[0] + (1) Succinyl-CoA[0]	"-1:cpd00002:0:""ATP"";-1:cpd00010:0:""CoA"";-1:cpd00036:0:""Succinate"";1:cpd00008:0:""ADP"";1:cpd00078:0:""Succinyl-CoA"";1:cpd00009:0:""Pi"""
rxn33855	MI:H:-1/O:-4/P:-1|CI:2	H:-1,O:-4,P:-1,charge:+2	Pi	1 Pi -> products	low	6.2.1.4	(1) CoA[0] + (1) Succinate[0] + (1) GTP[0] <= (1) GDP[0] + (1) Succinyl-CoA[0]	"-1:cpd00010:0:""CoA"";-1:cpd00036:0:""Succinate"";-1:cpd00038:0:""GTP"";1:cpd00031:0:""GDP"";1:cpd00078:0:""Succinyl-CoA"";1:cpd00009:0:""Pi"""
rxn33871	MI:H:-1/O:3/P:1|CI:-2	H:-1,O:+3,P:+1,charge:-2	Pi	1 Pi -> reactants; 1 H2O -> products	low	2.7.9.1	(1) ATP[0] + (1) Phosphate[0] + (1) Pyruvate[0] => (1) ADP[0] + (1) PPi[0] + (1) Phosphoenolpyruvate	"-1:cpd00002:0:""ATP"";-2:cpd00009:0:""Phosphate"";-1:cpd00020:0:""Pyruvate"";1:cpd00008:0:""ADP"";1:cpd00012:0:""PPi"";1:cpd00061:0:""Phosphoenolpyruvate"";1:cpd00001:0:""H2O"""
rxn34005	MI:H:2/O:-3/P:-1|CI:1	H:+2,O:-3,P:-1,charge:+3	Pi	1 Pi -> products; 1 H2O -> reactants; 1 H+ -> reactants	low	1.8.4.9	(2) GSH[0] + (1) 3-phosphoadenylylsulfate[0] <= (1) AMP[0] + (1) Sulfite[0] + (1) Oxidized glutathio	"-2:cpd00042:0:""GSH"";-1:cpd00044:0:""3-phosphoadenylylsulfate"";1:cpd00018:0:""AMP"";1:cpd00081:0:""Sulfite"";1:cpd00111:0:""Oxidized glutathione"";1:cpd00009:0:""Pi"";-1:cpd00001:0:""H2O"";-1:cpd00067:0:""H+"""
rxn35574	MI:H:-2/O:-3/P:-1|CI:-1	H:-2,O:-3,P:-1,charge:-1	Pi	1 Pi -> products; 1 H2O -> reactants; 3 H+ -> products	low	2.5.1.1	(1) Isopentenyldiphosphate[0] + (1) DMAPP[0] <= (1) PPi[0] + (1) (E)-geranyl phosphate[0]	"-1:cpd00113:0:""Isopentenyldiphosphate"";-1:cpd00202:0:""DMAPP"";1:cpd00012:0:""PPi"";1:cpd23795:0:""(E)-geranyl phosphate"";1:cpd00009:0:""Pi"";-1:cpd00001:0:""H2O"";3:cpd00067:0:""H+"""
rxn38690	MI:H:-8/O:-7/P:-1|CI:1	H:-8,O:-7,P:-1,charge:+1	Pi	1 Pi -> products; 3 H2O -> products; 1 H+ -> products	low	2.4.2.-	(1) L-Glutamine[0] + (1) Glycerone-phosphate[0] + (1) D-Ribulose5-phosphate[0] <= (1) Pyridoxal phos	"-1:cpd00053:0:""L-Glutamine"";-1:cpd00095:0:""Glycerone-phosphate"";-1:cpd00171:0:""D-Ribulose5-phosphate"";1:cpd00016:0:""Pyridoxal phosphate"";1:cpd00023:0:""L-Glutamate"";1:cpd00009:0:""Pi"";3:cpd00001:0:""H2O"";1:cpd00067:0:""H+"""
rxn38700	MI:O:3/P:1|CI:-1	O:+3,P:+1,charge:-1	Pi	1 Pi -> reactants; 1 H2O -> products; 1 H+ -> reactants	low	2.7.6.2	(1) GTP[0] + (1) Thiamin[0] => (1) GDP[0] + (1) TPP[0]	"-1:cpd00038:0:""GTP"";-1:cpd00305:0:""Thiamin"";1:cpd00031:0:""GDP"";1:cpd00056:0:""TPP"";-1:cpd00009:0:""Pi"";1:cpd00001:0:""H2O"";-1:cpd00067:0:""H+"""
rxn39093	MI:O:3/P:1|CI:-1	O:+3,P:+1,charge:-1	Pi	1 Pi -> reactants; 1 H2O -> products; 1 H+ -> reactants	low	4.2.3.16-	(1) (E)-geranyl phosphate[0] => (1) PPi[0] + (1) Limonene[0]	"-1:cpd23795:0:""(E)-geranyl phosphate"";1:cpd00012:0:""PPi"";1:cpd00407:0:""Limonene"";-1:cpd00009:0:""Pi"";1:cpd00001:0:""H2O"";-1:cpd00067:0:""H+"""
rxn04553	MI:C:-1/H:5|CI:1	C:-1,H:+5,charge:+1	CO2	1 CO2 -> products; 2 H2O -> reactants; 1 H+ -> reactants	review	null	(1) Premithramycin B[0] <=> (1) Mithramycin[0]	"-1:cpd09141:0:""Premithramycin B"";1:cpd09142:0:""Mithramycin"";1:cpd00011:0:""CO2"";-2:cpd00001:0:""H2O"";-1:cpd00067:0:""H+"""
rxn06830	MI:C:1/H:-1/O:2|CI:-1	C:+1,H:-1,O:+2,charge:-1	CO2	1 CO2 -> reactants; 1 H+ -> products	review	null	(1) 2-Polyprenylphenol[0] <=> (1) 4-Hydroxy-3-polyprenylbenzoate[0]	"-1:cpd12780:0:""2-Polyprenylphenol"";1:cpd12785:0:""4-Hydroxy-3-polyprenylbenzoate"";-1:cpd00011:0:""CO2"";1:cpd00067:0:""H+"""
rxn07121	MI:C:-1/H:1/O:-2|CI:1	C:-1,H:+1,O:-2,charge:+1	CO2	1 CO2 -> products; 1 H+ -> reactants	review	null	(1) L-3-Cyanoalanine[0] <= (1) 3-Aminopropiononitrile[0]	"-1:cpd01651:0:""L-3-Cyanoalanine"";1:cpd03377:0:""3-Aminopropiononitrile"";1:cpd00011:0:""CO2"";-1:cpd00067:0:""H+"""
rxn07145	MI:C:-1/H:1/O:-2|CI:1	C:-1,H:+1,O:-2,charge:+1	CO2	1 CO2 -> products; 1 H+ -> reactants	review	null	(1) Tetracenomycin F1[0] <= (1) Decarboxytetracenomycin F1[0]	"-1:cpd09120:0:""Tetracenomycin F1"";1:cpd09127:0:""Decarboxytetracenomycin F1"";1:cpd00011:0:""CO2"";-1:cpd00067:0:""H+"""
rxn07146	MI:C:-1/H:1/O:-2|CI:1	C:-1,H:+1,O:-2,charge:+1	CO2	1 CO2 -> products; 1 H+ -> reactants	review	null	(1) Tetracenomycin D3[0] <= (1) Tetracenomycin D1[0]	"-1:cpd09121:0:""Tetracenomycin D3"";1:cpd09129:0:""Tetracenomycin D1"";1:cpd00011:0:""CO2"";-1:cpd00067:0:""H+"""
rxn07147	MI:C:-1/H:1/O:-2|CI:1	C:-1,H:+1,O:-2,charge:+1	CO2	1 CO2 -> products; 1 H+ -> reactants	review	null	(1) Tetracenomycin B3[0] <= (1) Tetracenomycin B1[0]	"-1:cpd09122:0:""Tetracenomycin B3"";1:cpd09130:0:""Tetracenomycin B1"";1:cpd00011:0:""CO2"";-1:cpd00067:0:""H+"""
rxn07175	MI:C:1/H:-1/O:2|CI:-1	C:+1,H:-1,O:+2,charge:-1	CO2	1 CO2 -> reactants; 1 H+ -> products	review	null	(1) Tetralin[0] => (1) 5,6,7,8-Tetrahydro-2-naphthoic acid[0]	"-1:cpd09817:0:""Tetralin"";1:cpd09814:0:""5,6,7,8-Tetrahydro-2-naphthoic acid"";-1:cpd00011:0:""CO2"";1:cpd00067:0:""H+"""
rxn07597	MI:C:-1/H:1/O:-2|CI:1	C:-1,H:+1,O:-2,charge:+1	CO2	1 CO2 -> products; 1 H+ -> reactants	review	null	(1) 3,5-Dibromo-4-hydroxybenzoate[0] <= (1) 2,6-Dibromophenol[0]	"-1:cpd02440:0:""3,5-Dibromo-4-hydroxybenzoate"";1:cpd14963:0:""2,6-Dibromophenol"";1:cpd00011:0:""CO2"";-1:cpd00067:0:""H+"""
rxn11223	MI:C:-1/H:1/O:-2|CI:1	C:-1,H:+1,O:-2,charge:+1	CO2	1 CO2 -> products; 1 H+ -> reactants	review	null	(1) NADPH[0] + (1) H+[0] + (1) Dihydrodipicolinate[0] <= (1) NADP[0] + (1) delta1-Piperideine-6-L-ca	"-1:cpd00005:0:""NADPH"";-2:cpd00067:0:""H+"";-1:cpd02120:0:""Dihydrodipicolinate"";1:cpd00006:0:""NADP"";1:cpd00352:0:""delta1-Piperideine-6-L-carboxylate"";1:cpd00011:0:""CO2"""
rxn11294	MI:C:1/H:1/O:3|CI:-1	C:+1,H:+1,O:+3,charge:-1	CO2	1 CO2 -> reactants; 1 H2O -> reactants; 1 H+ -> products	review	null	(1) Succinyl-CoA[0] + (1) delta1-Piperideine-6-L-carboxylate[0] => (1) CoA[0] + (1) N-Succinyl-L-2-a	"-1:cpd00078:0:""Succinyl-CoA"";-1:cpd00352:0:""delta1-Piperideine-6-L-carboxylate"";1:cpd00010:0:""CoA"";1:cpd02724:0:""N-Succinyl-L-2-amino-6-oxopimelate"";-1:cpd00011:0:""CO2"";-1:cpd00001:0:""H2O"";1:cpd00067:0:""H+"""
rxn12062	MI:C:-1/H:-1/O:-3|CI:1	C:-1,H:-1,O:-3,charge:+1	CO2	1 CO2 -> products; 1 H2O -> products; 1 H+ -> reactants	review	null	(1) L-Histidine[0] + (1) Isovaleric acid[0] <= (1) Dolichotheline[0]	"-1:cpd00119:0:""L-Histidine"";-1:cpd05178:0:""Isovaleric acid"";1:cpd16504:0:""Dolichotheline"";1:cpd00011:0:""CO2"";1:cpd00001:0:""H2O"";-1:cpd00067:0:""H+"""
rxn12123	MI:C:-2/H:-1/O:-6|CI:3	C:-2,H:-1,O:-6,charge:+3	CO2	2 CO2 -> products; 2 H2O -> products; 3 H+ -> reactants	review	null	(1) L-Aspartate[0] + (1) N-Acetylanthranilate[0] <= (1) Vasicine[0]	"-1:cpd00041:0:""L-Aspartate"";-1:cpd03773:0:""N-Acetylanthranilate"";1:cpd07619:0:""Vasicine"";2:cpd00011:0:""CO2"";2:cpd00001:0:""H2O"";-3:cpd00067:0:""H+"""
rxn12262	MI:C:1/H:-3|CI:1	C:+1,H:-3,charge:+1	CO2	1 CO2 -> reactants; 2 H2O -> products; 1 H+ -> reactants	review	null	(1) ATP[0] + (1) CoA[0] + (1) suberate[0] <=> (1) PPi[0] + (1) AMP[0] + (1) 7-carboxyheptanoyl-coa[0	"-1:cpd00002:0:""ATP"";-1:cpd00010:0:""CoA"";-1:cpd05193:0:""suberate"";1:cpd00012:0:""PPi"";1:cpd00018:0:""AMP"";1:cpd16652:0:""7-carboxyheptanoyl-coa"";-1:cpd00011:0:""CO2"";2:cpd00001:0:""H2O"";-1:cpd00067:0:""H+"""
rxn15921	MI:C:-1/H:2/O:-2|CI:1	C:-1,H:+2,O:-2,charge:+2	CO2	1 CO2 -> products; 2 H+ -> reactants	review	null	(1) 3,6-Dihydronicotinic acid[0] <= (1) 3,6-Dihydropyridine[0]	"-1:cpd16470:0:""3,6-Dihydronicotinic acid"";1:cpd17210:0:""3,6-Dihydropyridine"";1:cpd00011:0:""CO2"";-2:cpd00067:0:""H+"""
rxn28399	MI:C:-1/H:1/O:-2|CI:1	C:-1,H:+1,O:-2,charge:+1	CO2	1 CO2 -> products; 1 H+ -> reactants	review	null	(1) Niacin[0] + (1) 1-Methylpyrrolinium[0] <= (1) Nicotine[0]	"-1:cpd00218:0:""Niacin"";-1:cpd03688:0:""1-Methylpyrrolinium"";1:cpd00554:0:""Nicotine"";1:cpd00011:0:""CO2"";-1:cpd00067:0:""H+"""
rxn30910	MI:C:1/H:-1|CI:3	C:+1,H:-1,charge:+3	CO2	1 CO2 -> reactants; 2 H2O -> products; 3 H+ -> reactants	review	null	(1) NADPH[0] + (1) O2[0] + (1) Gibberellin A14[0] <=> (1) NADP[0] + (1) CO2[0] + (1) GA4[0]	"-1:cpd00005:0:""NADPH"";-1:cpd00007:0:""O2"";-1:cpd08656:0:""Gibberellin A14"";1:cpd00006:0:""NADP"";1:cpd23358:0:""GA4"";2:cpd00001:0:""H2O"";-3:cpd00067:0:""H+"""
rxn00666	MI:N:1/O:-2|CI:1	N:+1,O:-2,charge:+1	NH4	1 NH4 -> reactants; 2 H2O -> products	review	null	(1) beta-Alanine[0] <= (1) 3-Aminopropiononitrile[0]	"-1:cpd00085:0:""beta-Alanine"";1:cpd03377:0:""3-Aminopropiononitrile"";-1:cpd00013:0:""NH4"";2:cpd00001:0:""H2O"""
rxn03803	MI:H:-2/N:-1/O:1|CI:-1	H:-2,N:-1,O:+1,charge:-1	NH4	1 NH4 -> products; 1 H2O -> reactants	review	null	(1) Ornithine[0] + (1) Streptidine 6-phosphate[0] => (1) L-Arginine[0] + (1) N-Amidino-scyllo-inosam	"-1:cpd00064:0:""Ornithine"";-1:cpd00825:0:""Streptidine 6-phosphate"";1:cpd00051:0:""L-Arginine"";1:cpd00950:0:""N-Amidino-scyllo-inosamine 4-phosphate"";1:cpd00013:0:""NH4"";-1:cpd00001:0:""H2O"""
rxn05850	MI:H:-4/N:-1|CI:-1	H:-4,N:-1,charge:-1	NH4	1 NH4 -> products	review	null	(1) L-Lysine[0] => (1) L-Pipecolate[0]	"-1:cpd00039:0:""L-Lysine"";1:cpd00323:0:""L-Pipecolate"";1:cpd00013:0:""NH4"""
rxn07830	MI:H:-3/N:-3/O:3	H:-3,N:-3,O:+3	NH4	3 NH4 -> products; 3 H2O -> reactants; 3 H+ -> reactants	review	null	(1) 2,4,6-Triaminotoluene[0] => (1) 2-Methylphloroglucinol[0]	"-1:cpd15106:0:""2,4,6-Triaminotoluene"";1:cpd15107:0:""2-Methylphloroglucinol"";3:cpd00013:0:""NH4"";-3:cpd00001:0:""H2O"";-3:cpd00067:0:""H+"""
rxn12152	MI:N:1/O:-2|CI:2	N:+1,O:-2,charge:+1	NH4	1 NH4 -> reactants; 2 H2O -> products	review	null	(1) octanoate[0] <= (1) gamma-Coniceine[0]	"-1:cpd03846:0:""octanoate"";1:cpd07027:0:""gamma-Coniceine"";-1:cpd00013:0:""NH4"";2:cpd00001:0:""H2O"""
rxn24125	MI:H:1/N:1/O:-1	H:+1,N:+1,O:-1	NH4	1 NH4 -> reactants; 1 H2O -> products; 1 H+ -> products	review	null	(1) 2-hydroxy-4-carboxypyrimidine[0] <= (1) 2-amino-4-carboxypyrimidine[0]	"-1:cpd21871:0:""2-hydroxy-4-carboxypyrimidine"";1:cpd21853:0:""2-amino-4-carboxypyrimidine"";-1:cpd00013:0:""NH4"";1:cpd00001:0:""H2O"";1:cpd00067:0:""H+"""
rxn26781	MI:H:-2/N:-1/O:1|CI:-1	H:-2,N:-1,O:+1,charge:-1	NH4	1 NH4 -> products; 1 H2O -> reactants	review	null	(1) 4-(3-pyridyl)-4-oxobutyramide[0] => (1) 3-Succinoylpyridine[0]	"-1:cpd24401:0:""4-(3-pyridyl)-4-oxobutyramide"";1:cpd20823:0:""3-Succinoylpyridine"";1:cpd00013:0:""NH4"";-1:cpd00001:0:""H2O"""
rxn31388	MI:N:-1|CI:3	N:-1,charge:+3	NH4	1 NH4 -> products; 4 H+ -> reactants	review	null	(2) H2O[0] + (2) Urea[0] => (2) CO2[0] + (3) NH3[0]	"-2:cpd00001:0:""H2O"";-2:cpd00073:0:""Urea"";2:cpd00011:0:""CO2"";4:cpd00013:0:""NH3"";-4:cpd00067:0:""H+"""
rxn39766	MI:H:-2/N:-1/O:1|CI:-1	H:-2,N:-1,O:+1,charge:-1	NH4	1 NH4 -> products; 1 H2O -> reactants	review	null	(1) L-Phenylalanine[0] => (1) Tropate[0]	"-1:cpd00066:0:""L-Phenylalanine"";1:cpd01035:0:""Tropate"";1:cpd00013:0:""NH4"";-1:cpd00001:0:""H2O"""
rxn46608	MI:N:1/O:-1	N:+1,O:-1,charge:-1	NH4	1 NH4 -> reactants; 1 H2O -> products; 2 H+ -> products	review	null	(1) H2O[0] + (1) 8-OH-dADP[0] => (1) Phosphate[0] + (1) H+[0] + (1) 8-oxo-dAMP[0]	"-1:cpd25973:0:""8-OH-dADP"";1:cpd00009:0:""Phosphate"";3:cpd00067:0:""H+"";1:cpd34577:0:""8-oxo-dAMP"";-1:cpd00013:0:""NH4"""
rxn46717	MI:H:4/N:1|CI:1	H:+4,N:+1,charge:+1	NH4	1 NH4 -> reactants	review	null	(1) 2-oxooctanoate[0] <= (1) L-2-amino-8-hydroxyoctanoate[0]	"-1:cpd31832:0:""2-oxooctanoate"";1:cpd33965:0:""L-2-amino-8-hydroxyoctanoate"";-1:cpd00013:0:""NH4"""
rxn48531	MI:H:5/N:1|CI:2	H:+5,N:+1,charge:+2	NH4	1 NH4 -> reactants; 1 H+ -> reactants	review	null	(1) tetrahydrodipicolinate[0] <= (1) tabtoxinine-beta-lactam[0]	"-1:cpd02465:0:""tetrahydrodipicolinate"";1:cpd34763:0:""tabtoxinine-beta-lactam"";-1:cpd00013:0:""NH4"";-1:cpd00067:0:""H+"""
rxn04187	MI:H:-2/O:-7/P:-2|CI:2	H:-2,O:-7,P:-2,charge:+2	PPi	1 PPi -> products; 1 H+ -> products	review	null	(1) syn-Copalyl diphosphate[0] <=> (1) Aphidicol-16-ene[0]	"-1:cpd08700:0:""syn-Copalyl diphosphate"";1:cpd08689:0:""Aphidicol-16-ene"";1:cpd00012:0:""PPi"";1:cpd00067:0:""H+"""
rxn04188	MI:H:-2/O:-7/P:-2|CI:2	H:-2,O:-7,P:-2,charge:+2	PPi	1 PPi -> products; 1 H+ -> products	review	null	(1) syn-Copalyl diphosphate[0] <=> (1) Aphidicol-15-ene[0]	"-1:cpd08700:0:""syn-Copalyl diphosphate"";1:cpd08690:0:""Aphidicol-15-ene"";1:cpd00012:0:""PPi"";1:cpd00067:0:""H+"""
rxn04194	MI:H:-2/O:-7/P:-2|CI:2	H:-2,O:-7,P:-2,charge:+2	PPi	1 PPi -> products; 1 H+ -> products	review	null	(1) Geranylgeranyl diphosphate[0] <= (1) Cembrene[0]	"-1:cpd00289:0:""Geranylgeranyl diphosphate"";1:cpd08691:0:""Cembrene"";1:cpd00012:0:""PPi"";1:cpd00067:0:""H+"""
rxn06073	MI:H:-2/O:-7/P:-2|CI:2	H:-2,O:-7,P:-2,charge:+2	PPi	1 PPi -> products; 1 H+ -> products	review	null	(1) Geranyldiphosphate[0] <=> (1) Camphene[0]	"-1:cpd00283:0:""Geranyldiphosphate"";1:cpd03746:0:""Camphene"";1:cpd00012:0:""PPi"";1:cpd00067:0:""H+"""
rxn06150	MI:O:-6/P:-2|CI:2	O:-6,P:-2,charge:+2	PPi	1 PPi -> products; 1 H2O -> reactants; 1 H+ -> products	review	null	(1) Farnesyldiphosphate[0] <=> (1) Polyprenol[0]	"-1:cpd00350:0:""Farnesyldiphosphate"";1:cpd12823:0:""Polyprenol"";1:cpd00012:0:""PPi"";-1:cpd00001:0:""H2O"";1:cpd00067:0:""H+"""
rxn11884	MI:H:-2/O:-7/P:-2|CI:2	H:-2,O:-7,P:-2,charge:+2	PPi	1 PPi -> products; 1 H+ -> products	review	null	(1) Farnesyldiphosphate[0] <= (1) Humulene[0]	"-1:cpd00350:0:""Farnesyldiphosphate"";1:cpd06578:0:""Humulene"";1:cpd00012:0:""PPi"";1:cpd00067:0:""H+"""
rxn11903	MI:O:-6/P:-2|CI:2	O:-6,P:-2,charge:+2	PPi	1 PPi -> products; 1 H2O -> reactants; 1 H+ -> products	review	null	(1) Geranyldiphosphate[0] <= (1) Nerol[0]	"-1:cpd00283:0:""Geranyldiphosphate"";1:cpd06761:0:""Nerol"";1:cpd00012:0:""PPi"";-1:cpd00001:0:""H2O"";1:cpd00067:0:""H+"""
rxn11905	MI:H:-2/O:-7/P:-2|CI:2	H:-2,O:-7,P:-2,charge:+2	PPi	1 PPi -> products; 1 H+ -> products	review	null	(1) Geranyldiphosphate[0] <= (1) Car-3-ene[0]	"-1:cpd00283:0:""Geranyldiphosphate"";1:cpd06730:0:""Car-3-ene"";1:cpd00012:0:""PPi"";1:cpd00067:0:""H+"""
rxn11906	MI:O:-6/P:-2|CI:2	O:-6,P:-2,charge:+2	PPi	1 PPi -> products; 1 H2O -> reactants; 1 H+ -> products	review	null	(1) Geranyldiphosphate[0] <= (1) Geraniol[0]	"-1:cpd00283:0:""Geranyldiphosphate"";1:cpd01062:0:""Geraniol"";1:cpd00012:0:""PPi"";-1:cpd00001:0:""H2O"";1:cpd00067:0:""H+"""
rxn11909	MI:O:-6/P:-2|CI:2	O:-6,P:-2,charge:+2	PPi	1 PPi -> products; 1 H2O -> reactants; 1 H+ -> products	review	null	(1) Geranyldiphosphate[0] <= (1) (R)-(+)-Citronellal[0]	"-1:cpd00283:0:""Geranyldiphosphate"";1:cpd06739:0:""(R)-(+)-Citronellal"";1:cpd00012:0:""PPi"";-1:cpd00001:0:""H2O"";1:cpd00067:0:""H+"""
rxn28850	MI:H:-4/O:-7/P:-2	H:-4,O:-7,P:-2	PPi	1 PPi -> products; 3 H+ -> products	review	null	(1) syn-CDP[0] <=> (1) endo-stemarene[0]	"-1:cpd28877:0:""syn-CDP"";1:cpd28880:0:""endo-stemarene"";1:cpd00012:0:""PPi"";3:cpd00067:0:""H+"""
rxn28866	MI:H:-4/O:-7/P:-2	H:-4,O:-7,P:-2	PPi	1 PPi -> products; 3 H+ -> products	review	null	(1) syn-CDP[0] <=> (1) 9beta-hydroxy-pimara-7,15-diene[0]	"-1:cpd28877:0:""syn-CDP"";1:cpd28881:0:""9beta-hydroxy-pimara-7,15-diene"";1:cpd00012:0:""PPi"";3:cpd00067:0:""H+"""
rxn31537	MI:H:-2/O:-14/P:-4|CI:6	H:-2,O:-14,P:-4,charge:+6	PPi	2 PPi -> products	review	null	(2) Geranylgeranyl diphosphate[0] <= (2) H+[0] + (1) Phytoene[0]	"-2:cpd00289:0:""Geranylgeranyl diphosphate"";2:cpd00067:0:""H+"";1:cpd03205:0:""Phytoene"";2:cpd00012:0:""PPi"""
rxn03945	MI:H:1/O:-3/P:-1|CI:2	H:+1,O:-3,P:-1,charge:+2	Pi	1 Pi -> products; 1 H2O -> reactants	review	null	(1) N-Acetyl-O-demethylpuromycin-5'-phosphate[0] <= (1) N-Acetyl-O-demethylpuromycin[0]	"-1:cpd04328:0:""N-Acetyl-O-demethylpuromycin-5'-phosphate"";1:cpd04329:0:""N-Acetyl-O-demethylpuromycin"";1:cpd00009:0:""Pi"";-1:cpd00001:0:""H2O"""
rxn04441	MI:H:-1/O:3/P:1|CI:-2	H:-1,O:+3,P:+1,charge:-2	Pi	1 Pi -> reactants; 1 H2O -> products	review	null	(1) Kanosamine[0] => (1) Kanosamine 6-phosphate[0]	"-1:cpd08991:0:""Kanosamine"";1:cpd08992:0:""Kanosamine 6-phosphate"";-1:cpd00009:0:""Pi"";1:cpd00001:0:""H2O"""
rxn04652	MI:H:-1/O:3/P:1|CI:-2	H:-1,O:+3,P:+1,charge:-2	Pi	1 Pi -> reactants; 1 H2O -> products	review	null	(1) Ribose 1-phosphate[0] => (1) Ribose 1,5-bisphosphate[0]	"-1:cpd00475:0:""Ribose 1-phosphate"";1:cpd00847:0:""Ribose 1,5-bisphosphate"";-1:cpd00009:0:""Pi"";1:cpd00001:0:""H2O"""
rxn04929	MI:O:4/P:1|CI:-2	O:+4,P:+1,charge:-3	Pi	1 Pi -> reactants; 1 H+ -> products	review	null	(1) L-Ascorbate[0] => (1) 3-keto-L-gulonate-6-phosphate[0]	"-1:cpd00059:0:""L-Ascorbate"";1:cpd10596:0:""3-keto-L-gulonate-6-phosphate"";-1:cpd00009:0:""Pi"";1:cpd00067:0:""H+"""
