id	class	signature	redox	ec_class	n_species	definition
rxn57689	skeleton:C,N	C:-24,H:-36,N:-3,O:-15,charge:+1			2	(1) Undecaprenyl-diphospho N-acetylglucosamine-N-acetylmannosaminuronate-N-acetamido-4,6-dideoxy-D-galactose[0] <=> (1) 
rxn57711	skeleton:C,N,S	C:-20,H:-28,N:-6,O:-12,S:-2,charge:+4			4	(2) GSH[0] + (1) 12S-HpEPE[0] <=> (1) H2O[0] + (1) 12(<i>S</i>)-HEPE[0]
rxn57903	skeleton:C,N	C:-10,H:-11,N:-1,O:-5	NH3		4	(1) NH3[0] + (1) H+[0] + (1) Chorismate[0] <=> (1) H2O[0]
rxn58039	skeleton:C,N	C:-43,H:-70,N:-11,O:-20,charge:+1			3	(1) N-acetylmuramoyl-L-alanyl-D-isoglutaminyl-N-(beta-D-asparaginyl)-L-lysyl-D-alanyl-D-alanine-diphosphoundecaprenyl-N-
rxn58231	skeleton:C	C:+5,H:+4,O:+5,charge:-2	O2		5	(1) O2[0] + (1) Glutarate[0] <=> (1) CO2[0] + (1) Succinate[0] + (1) (S)-2-Hydroxyglutarate[0]
rxn58314	skeleton:C	C:+120,H:+192,O:+96			5	(27) decaprenylphosphoryl-beta-D-arabinofuranose[0] + (1) (Araf)3(Galf)30-Rha-GlcNAc-P-P-C50[0] <=> (27) H+[0] + (27) De
rxn58324	skeleton:C,N,S	C:-20,H:-28,N:-6,O:-12,S:-2,charge:+4			4	(2) GSH[0] + (1) (15R)-HPETE[0] <=> (1) H2O[0] + (1) (15R)-hydroxyeicosapentaenoate[0]
rxn58530	skeleton:C,N,S	C:-20,H:-28,N:-6,O:-12,S:-2,charge:+4			4	(2) GSH[0] + (1) (7<i>S</i>,17<i>S</i>)-HHpDHA[0] <=> (1) H2O[0] + (1) resolvin D5[0]
rxn58642	skeleton:C,N,S	C:-20,H:-28,N:-6,O:-12,S:-2,charge:+4			4	(2) GSH[0] + (1) 9(S)-HPOT[0] <=> (1) H2O[0] + (1) 9-HOTrE[0]
rxn58695	skeleton:C,N	C:-10,H:-9,N:-1,O:-5,charge:+2	NH3		6	(1) H2O[0] + (2) L-Glutamine[0] + (1) Chorismate[0] <=> (1) NH3[0] + (2) L-Glutamate[0] + (1) H+[0]
rxn58786	skeleton:C,N,P,S	C:+100,H:+140,N:+28,O:+76,P:+12,S:+4,charge:-20	NADP+NADPH		9	(4) NADPH[0] + (9) H+[0] + (1) Malonyl-CoA[0] + (1) 4-nitrobenzoyl-CoA[0] <=> (3) H2O[0] + (4) NADP[0] + (6) CoA[0] + (5
rxn58876	skeleton:C,N	C:-10,H:-9,N:-1,O:-2			3	(1) Acetyl-CoA[0] + (1) Indoxyl[0] <=> (1) CoA[0]
rxn58892	skeleton:C	C:+24,H:+41,O:+17,charge:+1			4	(2) D-Abequosyl-D-mannosyl-rhamnosyl-D-galactose-1-diphospholipid[0] <=> (1) H+[0] + (1) Bactoprenyl diphosphate[0] + (1
rxn58905	skeleton:C,Cl	C:+1,Cl:-1,H:+3			5	(1) S-Adenosyl-L-methionine[0] + (1) Novclobiocin 105[0] <=> (1) S-Adenosyl-homocysteine[0] + (1) H+[0] + (1) Descarbamo
rxn58957	skeleton:C,N,S	C:-20,H:-29,N:-6,O:-12,S:-2,charge:+3			5	(2) GSH[0] + (1) H+[0] + (1) (14S)-hydroperoxy-(4Z,7Z,10Z,12E,16Z,19Z)-docosahexaenoate[0] <=> (1) H2O[0] + (1) (14<i>S<
rxn58965	skeleton:C,N,S	C:-20,H:-29,N:-6,O:-12,S:-2,charge:+3			3	(1) GSH[0] + (1) S-(methylsulfanyl)glutathione[0] <=> (1) MTTL[0]
rxn58969	skeleton:P	H:-1,O:+3,P:+1,charge:-2	NADH+NADPH		2	(1) NADH[0] <=> (1) NADPH[0]
rxn59055	skeleton:C	C:-6,H:-10,O:-6	NADP+NADPH		4	(1) NADP[0] + (1) D-Glucose[0] <=> (1) NADPH[0] + (1) H+[0]
rxn59074	skeleton:C	C:-135,H:-216,O:-108			5	(6) decaprenylphosphoryl-beta-D-arabinofuranose[0] + (1) mycobacterial arabinogalactan containing linear arabinofuran[0]
rxn59144	skeleton:C,N,S	C:-20,H:-28,N:-6,O:-12,S:-2,charge:+4			4	(2) GSH[0] + (1) 12(S)-HPETE[0] <=> (1) H2O[0] + (1) 12(S)-HETE[0]
rxn59322	skeleton:C,S	C:-3,H:-7,O:-3,S:-2,charge:+1			5	(2) Na+[0] + (1) CoM[0] + (1) 5-Methyl-H4MPT[0] <=> (1) H4MPT[0] + (2) Na+[1]
rxn59409	H_O_charge	H:+2,O:+2			2	(1) 11-hydroxycucurbitadienol[0] <=> (1) (23R)-cucurbit-5-ene-3beta,11alpha,23,25-tetraol[0]
rxn59410	skeleton:C,N	C:-1,H:-1,N:+1,O:-1			2	(1) mitomycin A[0] <=> (1) mitomycin C[0]
rxn59412	skeleton:C	C:-4,H:-9,O:+2,charge:-1			2	(1) PGF2a[0] <=> (1) 2,3,4,5-tetranor-prostaglandin FM[0]
rxn59413	skeleton:C	C:-2,H:-4			2	(1) 3-oxochol-4-en-24-oate[0] <=> (1) 3-one-23,24-bisnorchol-4-en-22-oate[0]
rxn59415	skeleton:C	C:+4,H:+5,O:+4,charge:+1			2	(1) 7,8-didehydro-3-methylprostreptovaricin[0] <=> (1) streptovaricin C[0]
rxn59418	H_O_charge	H:+1,O:-1,charge:+1			2	(1) arsanilate[0] <=> (1) (4-aminophenyl)arsonous acid[0]
rxn59423	skeleton:C	C:-1,H:+1,charge:+1			2	(1) Dipicolinate[0] <=> (1) 2,3-dihydroxypicolinate[0]
rxn59427	H_O_charge	H:-4,O:+2			2	(1) Cholesterol[0] <=> (1) (3beta,25R)-spirost-5-en-3-ol[0]
rxn59428	skeleton:C,N,S	C:-20,H:-30,N:-6,O:-12,S:-2,charge:+2			3	(2) GSH[0] + (1) L-Cystine[0] <=> (2) L-Cysteine[0]
rxn59432	skeleton:C	C:+1,H:-1,charge:-1			2	(1) carbamoylated 9alpha-mitosane core[0] <=> (1) 6-demethylmitomycin B[0]
rxn59434	skeleton:C	C:-4,H:-9,O:+2,charge:-1			2	(1) Dinoprostone[0] <=> (1) tetranor-PGEM[0]
rxn59435	skeleton:C	C:-3,H:-5,O:-1,charge:+1			2	(1) 3-one-23,24-bisnorchol-4-en-22-oate[0] <=> (1) Androstenedione[0]
rxn59440	skeleton:N	H:+2,N:+1,O:-2,charge:+1			2	(1) GDP-D-alpha-D-octose[0] <=> (1) GDP-D-alpha-D-lincosamide[0]
rxn59446	skeleton:C	C:-3,O:-2			2	(1) 3-(5-oxoisoxazolin-2-yl)-L-alanine[0] <=> (1) L-2,3-Diaminopropionate[0]
rxn59449	H_O_charge	H:+1,O:-1,charge:+1			2	(1) pyrrolomycin G[0] <=> (1) pyrrolomycin B[0]
