id	class	signature	redox	ec_class	n_species	definition
rxn00008	charge_only	charge:+2	H2O2	1	3	(2) H2O[0] <= (1) H2O2[0] + (2) H+[0]
rxn00027	charge_only	charge:+8		4	3	(1) Cyclobutadipyrimidine[0] <=> (8) H+[0] + (2) Pyrimidine 5'-deoxynucleotide[0]
rxn00059	charge_only	charge:-4	O2	1	5	(1) O2[0] + (4) H+[0] + (4) Benzenediol[0] <=> (2) H2O[0] + (4) Quinol[0]
rxn00082	charge_only	charge:+4	NADP+NADPH+NO+O2	1	7	(1) NADPH[0] + (1) O2[0] + (2) N-(omega)-Hydroxyarginine[0] <=> (1) NADP[0] + (5) H+[0] + (2) Citrulline[0] + (2) NO[0]
rxn00091	charge_only	charge:-2	O2	1	5	(1) H2O[0] + (1) O2[0] + (2) S[0] => (1) Sulfite[0] + (1) H2S[0]
rxn00112	charge_only	charge:-2	NH3+O2	1	5	(1) O2[0] + (1) NH3[0] + (1) H+[0] => (1) H2O[0] + (1) Hydroxylamine[0]
rxn00115	H_O_charge	H:-3,O:-2,charge:-1	NH3		3	(1) CO2[0] + (1) NH3[0] <=> (1) HCN[0]
rxn00261	charge_only	charge:+4	NH3+O2	1	6	(1) NH3[0] + (1) 2-Oxoglutarate[0] + (1) Oxaloacetate[0] <= (2) O2[0] + (4) H+[0] + (1) 5-(2'-Carboxyethyl)-4,6-dihydrox
rxn00277	skeleton:C	C:-1,H:-4,O:-2			2	(1) Glycine[0] <=> (1) HCN[0]
rxn00296	skeleton:C,N,P	C:+11,H:+22,N:+2,O:+1,P:-2,charge:+2			2	(1) UDP-N-acetylglucosamine[0] <=> (1) Glycoprotein[0]
rxn00353	charge_only	charge:+2		1	2	(2) GSH[0] => (1) Oxidized glutathione[0]
rxn00431	charge_only	charge:+2	NH3	1	5	(1) H2O[0] + (1) Methanamine[0] => (1) NH3[0] + (1) Formaldehyde[0] + (2) H+[0]
rxn00447	charge_only	charge:+1		1	3	(1) L-Ascorbate[0] <=> (3) H+[0] + (1) Ascorbate radical[0]
rxn00496	skeleton:C	C:-1,H:-2,O:-1		1	2	(1) L-Phenylalanine[0] <= (1) 2-Phenylacetamide[0]
rxn00524	charge_only	charge:-2	O2	1	5	(1) O2[0] + (2) H+[0] + (1) L-Tyrosine[0] => (1) H2O[0] + (1) L-Dopa[0]
rxn00574	charge_only	charge:+2	NO2		4	(1) H2O[0] + (1) Nitrite[0] <=> (3) H+[0] + (1) Nitrate[0]
rxn00590	charge_only	charge:+2	NAD+NADH+O2	1	6	(1) NADH[0] + (1) O2[0] + (1) Benzoate[0] => (1) NAD[0] + (1) CO2[0] + (1) Catechol[0]
rxn00597	charge_only	charge:-2	NADP+NADPH+NO2+O2	1	8	(1) NADPH[0] + (1) O2[0] + (4) H+[0] + (1) 2-Nitrophenol[0] <=> (1) H2O[0] + (1) NADP[0] + (1) Nitrite[0] + (1) Catechol
rxn00664	skeleton:C	C:+4,H:-4,O:+2,charge:-2			2	(1) beta-Alanine[0] => (1) Quinolinate[0]
rxn00665	H_O_charge	H:-3,O:+2,charge:-1			2	(1) beta-Alanine[0] <=> (1) beta-Nitropropanoate[0]
rxn00666	skeleton:N	N:+1,O:-2,charge:+1			2	(1) beta-Alanine[0] <= (1) 3-Aminopropiononitrile[0]
rxn00667	H_O_charge	H:+16,O:-1,charge:+6		2	5	(1) Propionyl-CoA[0] + (6) Methylmalonyl-CoA[0] <=> (7) CoA[0] + (6) CO2[0] + (1) 6-Deoxyerythronolide B[0]
rxn00681	skeleton:C,N,P,S	C:-21,H:-31,N:-7,O:-15,P:-3,S:-1,charge:+3			3	(1) Glyoxalate[0] + (1) Propionyl-CoA[0] <= (1) 2-Hydroxyglutarate[0]
rxn00685	charge_only	charge:+2	NAD+NADH	1	5	(1) NAD[0] + (1) Tetrahydrofolate[0] => (1) NADH[0] + (3) H+[0] + (1) Folate[0]
rxn00687	charge_only	charge:+2	NADP+NADPH	1	5	(1) NADP[0] + (1) Tetrahydrofolate[0] => (1) NADPH[0] + (3) H+[0] + (1) Folate[0]
rxn00689	skeleton:C,N	C:+5,H:+6,N:+1,O:+3,charge:-1		6	7	(1) ATP[0] + (1) L-Glutamate[0] + (1) Tetrahydrofolate[0] <=> (1) ADP[0] + (1) Phosphate[0] + (1) H+[0] + (1) THF-L-glut
rxn00732	skeleton:C	C:+3,H:+2,O:+2			2	(1) Anthranilate[0] => (1) 2-Formaminobenzoylacetate[0]
rxn00733	skeleton:C,N	C:+3,H:+4,N:+1,O:-1,charge:+1			2	(1) Anthranilate[0] <=> (1) Indole-3-acetaldoxime[0]
rxn00750	charge_only	charge:-12			4	(14) H+[0] + (1) Pyrroloquinoline-quinone[0] <= (1) L-Glutamate[0] + (1) Dopaquinone[0]
rxn00759	skeleton:Cl	Cl:-1,charge:+1	NH3	4	5	(1) H2O[0] + (1) 3-Chloro-D-alanine[0] <=> (1) NH3[0] + (1) Pyruvate[0] + (1) H+[0]
rxn00760	skeleton:Cl	Cl:+1,charge:-1	NH3		5	(1) NH3[0] + (1) Pyruvate[0] + (1) H+[0] <=> (1) H2O[0] + (1) 3-Chloro-L-alanine[0]
rxn00761	skeleton:Cl	Cl:-1,H:+1,charge:+2	NAD+NADH+O2	1	6	(1) NADH[0] + (1) O2[0] + (1) 2-Chlorobenzoate[0] => (1) NAD[0] + (1) CO2[0] + (1) Catechol[0]
rxn00809	charge_only	charge:-4	NAD+NADH	1	5	(1) NAD[0] + (3) H+[0] + (1) Galactose[0] <= (1) NADH[0] + (1) Dulcose[0]
rxn00811	charge_only	charge:-4	NADP+NADPH	1	5	(1) NADP[0] + (3) H+[0] + (1) Galactose[0] <= (1) NADPH[0] + (1) Dulcose[0]
rxn00828	skeleton:C,N,P	C:+8,H:+18,N:+1,O:+2,P:-1,charge:+2			2	(1) CMP-N-acetylneuraminate[0] <=> (1) Glycoprotein[0]
rxn00969	skeleton:Cl	Cl:-1,charge:+1		3	4	(1) H2O[0] + (1) 4-Chlorobenzoate[0] <=> (1) H+[0] + (1) 4-Hydroxybenzoate[0]
rxn01040	oxygen_only	O:+1			2	(1) Benzoate[0] => (1) 3-Hydroxybenzoate[0]
rxn01047	skeleton:C,N	C:-1,H:-6,N:-1,O:+1,charge:-1			2	(1) L-Valine[0] => (1) 3-Oxo-2-methylpropanoate[0]
rxn01120	skeleton:C,N,P	C:+11,H:+22,N:+2,O:+1,P:-2,charge:+2			2	(1) UDP-N-acetyl-D-galactosamine[0] <=> (1) Glycoprotein[0]
rxn01178	charge_only	charge:+2			5	(3) Malonyl-CoA[0] + (1) 4-Coumaroyl-CoA[0] <=> (4) CoA[0] + (3) CO2[0] + (1) Apigenin[0]
rxn01198	oxygen_only	O:+1			2	(1) Protocatechuate[0] => (1) Gallate[0]
rxn01235	skeleton:C,N	C:+1,H:+2,N:+2			2	(1) Taurine[0] <= (1) Taurocyamine[0]
rxn01250	charge_only	charge:+1	O2	1	6	(1) H2O[0] + (1) O2[0] + (1) Pyridoxal[0] => (2) H+[0] + (1) O2-[0] + (1) 4-Pyridoxate[0]
rxn01266	skeleton:N	H:+2,N:-1,O:+2,charge:-1			2	(1) Niacin[0] => (1) 2-Methyleneglutarate[0]
rxn01272	skeleton:C,N	C:+8,H:+10,N:+2,O:+6			2	(1) Dimethylbenzimidazole[0] => (1) Riboflavin[0]
rxn01342	oxygen_only	O:+1			2	(1) Androstenedione[0] => (1) 7alpha-Hydroxyandrostenedione[0]
rxn01400	skeleton:C	C:+1,H:+8,O:+5			3	(1) Pyridoxol[0] => (1) 4-Hydroxy-L-threonine[0] + (1) 1-Deoxy-D-xylulose[0]
rxn01433	skeleton:C,N,P	C:-8,H:-18,N:-1,O:-1,P:+1,charge:-2			2	(1) Glycoprotein[0] <=> (1) CMP-NeuNGc[0]
rxn01470	skeleton:P	H:-2,O:-5,P:-2,charge:+2			2	(1) Geranyldiphosphate[0] <= (1) Iridodial[0]
rxn01526	skeleton:C	C:+13,H:+22			2	(1) Sterol[0] <= (1) Squalene 2,3-oxide[0]
rxn01535	charge_only	charge:+2			3	(1) Retinal[0] => (2) H+[0] + (1) Retinene 2[0]
rxn01591	skeleton:C,N,P,S	C:-21,H:-33,N:-7,O:-17,P:-3,S:-1,charge:+5	NAD+NADH	2	7	(2) NADH[0] + (2) H+[0] + (1) Malonyl-CoA[0] + (1) strcoa[0] <= (2) NAD[0] + (1) CO2[0] + (1) Icosanoyl-CoA[0]
rxn01592	skeleton:C,N,P,S	C:-21,H:-33,N:-7,O:-17,P:-3,S:-1,charge:+5	NADP+NADPH	2	7	(2) NADPH[0] + (2) H+[0] + (1) Malonyl-CoA[0] + (1) strcoa[0] <= (2) NADP[0] + (1) CO2[0] + (1) Icosanoyl-CoA[0]
rxn01659	H_O_charge	H:-6,O:+4,charge:-2			3	(1) Farnesyldiphosphate[0] => (1) PPi[0] + (1) (-)-ABA[0]
rxn01681	charge_only	charge:-2	O2	1	5	(1) O2[0] + (2) H+[0] + (1) indol[0] => (1) H2O[0] + (1) Indoxyl[0]
rxn01736	oxygen_only	O:-1		1	4	(1) Sulfate[0] + (1) L-Cystine[0] <=> (1) L-Cysteine[0] + (1) S-sulfocysteine[0]
rxn01759	charge_only	charge:-2			5	(1) 3-phosphoadenylylsulfate[0] + (1) H+[0] + (1) Dehydroalanine[0] <=> (1) Adenosine 3-5-bisphosphate[0] + (1) L-Cystea
rxn01824	charge_only	charge:+2	NADP+NADPH+O2	4	7	(1) NADPH[0] + (1) O2[0] + (1) Homogentisate[0] => (1) H2O[0] + (1) NADP[0] + (1) CO2[0] + (1) Gentisate aldehyde[0]
rxn01897	skeleton:Cl	Cl:-1,charge:+1	NH3	4	5	(1) H2O[0] + (1) L-2-Amino-4-chloropent-4-enoate[0] <=> (1) NH3[0] + (1) H+[0] + (1) Oxopent-4-enoate[0]
rxn01915	skeleton:P	O:-3,P:-1,charge:+1		2	4	(1) Phosphate[0] + (1) Urate D-ribonucleotide[0] <= (1) Urate[0] + (1) Ribose 1-phosphate[0]
rxn01940	charge_only	charge:+2	H2O2+O2	1	6	(2) H2O[0] + (1) O2[0] + (2) Indoleacetaldehyde[0] => (1) H2O2[0] + (4) H+[0] + (2) Indoleacetate[0]
rxn01958	skeleton:N	H:-4,N:-1,O:+1,charge:-1			2	(1) 4-Methylene-L-glutamate[0] => (1) 4-Methylene-2-oxoglutarate[0]
rxn01963	skeleton:N,P,S	H:+1,N:+1,O:-8,P:-1,S:+1,charge:+3			3	(1) Pyruvate[0] + (1) Glyceraldehyde3-phosphate[0] <= (1) 4-Methyl-5--2-hydroxyethyl-thiazole[0]
rxn02001	skeleton:N	H:-1,N:+3		5	2	(1) dTDP-4-oxo-6-deoxy-D-glucose[0] <= (1) GDP-4-oxo-L-rhamnose[0]
rxn02017	charge_only	charge:+2		1	3	(1) 11-epi-PGF2a[0] => (2) H+[0] + (1) Prostaglandin D2[0]
rxn02025	oxygen_only	O:-1	O2	1	3	(1) O2[0] + (1) Pterin[0] => (1) Isoxanthopterin[0]
rxn02027	skeleton:S	H:-1,O:-1,S:+1,charge:-1			2	(1) L-Serine[0] <= (1) Cysteine[0]
rxn02047	skeleton:C,N,P	C:+2,H:+6,N:+1,O:+3,P:+1			4	(1) L-Arginine[0] + (1) D-Serine[0] => (1) Ornithine[0] + (1) D-Lombricine[0]
rxn02072	charge_only	charge:+2			4	(1) L-Glutamine[0] + (1) D-Proline[0] <=> (3) H+[0] + (1) Linatine[0]
rxn02116	charge_only	charge:-2	O2	1	5	(1) O2[0] + (2) H+[0] + (1) 4-Coumarate[0] => (1) H2O[0] + (1) Caffeate[0]
rxn02146	charge_only	charge:+2			3	(1) 4-Pyridoxate[0] => (2) H+[0] + (1) 5-Formyl-3-hydroxy-2-methylpyridine-4-carboxylate[0]
rxn02162	skeleton:C,N,S	C:+2,H:+5,N:+1,O:-1,S:+1		2	4	(1) ATP[0] + (1) PAN[0] <= (1) ADP[0] + (1) Phosphopantetheine[0]
rxn02205	charge_only	charge:-1	NO2	1	6	(3) H+[0] + (1) Nitrate[0] + (1) Ferrocytochrome[0] <=> (1) H2O[0] + (1) Nitrite[0] + (1) Ferricytochrome[0]
rxn02252	skeleton:C,N,P,S	C:+21,H:+29,N:+7,O:+14,P:+3,S:+1,charge:-3			2	(1) 4-Hydroxybutanoate[0] => (1) 3-Butenoyl-CoA[0]
rxn02253	charge_only	charge:+1		1	7	(1) H2O[0] + (1) Pyruvate[0] + (1) Ferricytochrome b1[0] <=> (1) CO2[0] + (1) Acetate[0] + (2) H+[0] + (1) Ferrocytochro
rxn02254	charge_only	charge:+1		1	5	(1) Formate[0] + (1) Ferricytochrome b1[0] <=> (1) CO2[0] + (1) H+[0] + (1) Ferrocytochrome b1[0]
rxn02368	skeleton:Cl	Cl:-1,H:-1	NAD+NADH+O2	1	6	(1) NADH[0] + (1) O2[0] + (1) H+[0] + (1) 4-Chlorophenylacetate[0] => (1) NAD[0] + (1) Homoprotocatechuate[0]
rxn02471	charge_only	charge:+2		2	5	(1) DMAPP[0] + (1) (-)-Glycinol[0] => (1) PPi[0] + (3) H+[0] + (1) Glyceollin[0]
rxn02485	skeleton:C,P	C:+2,H:+4,O:+6,P:+1,charge:-1			2	(1) Toxopyrimidine[0] => (1) AIR[0]
rxn02556	charge_only	charge:+2			3	(1) Ferulate[0] => (1) H+[0] + (1) Scopoletin[0]
rxn02570	charge_only	charge:-2	NADP+NADPH	1	6	(3) H2O[0] + (4) NADP[0] + (1) Selenide[0] <=> (4) NADPH[0] + (3) H+[0] + (1) Selenite[0]
rxn02572	H_O_charge	H:-1,O:+3,charge:-1			2	(1) Selenium[0] <=> (1) Selenite[0]
rxn02573	H_O_charge	H:-1,O:+4,charge:-1			2	(1) Selenium[0] <=> (1) Selenate[0]
rxn02605	skeleton:N	H:-6,N:-1,charge:-1			2	(1) Cadaverine[0] => (1) Piperideine[0]
rxn02619	charge_only	charge:+2	NADP+NADPH+O2	1	7	(1) NADPH[0] + (1) O2[0] + (1) Lanosterol[0] => (1) NADP[0] + (1) Formate[0] + (2) H+[0] + (1) 14-Demethyllanosterol[0]
rxn02626	skeleton:C	C:+1,H:+2			2	(1) Morphine[0] <=> (1) Codeine[0]
rxn02627	skeleton:C	C:+1,H:+2		1	2	(1) Morphinone[0] <=> (1) Oripavine[0]
rxn02657	H_O_charge	H:-4,O:+7			2	(1) Trichodiene[0] <=> (1) Nivalenol[0]
rxn02662	charge_only	charge:+2			4	(1) H2O[0] + (1) 2-Oxepanone[0] <=> (2) H+[0] + (1) Hexan-1-ol-6-oate[0]
rxn02664	H_O_charge	H:-1,O:+1,charge:-1			2	(1) 2-Oxepanone[0] => (1) 6-Oxohexanoate[0]
rxn02692	skeleton:C	C:+2,H:-4,O:+6			2	(1) Aristolochene[0] => (1) PR Toxin[0]
rxn02698	H_O_charge	H:-1,O:+1,charge:+1		1	3	(1) Gibberellin 19[0] <=> (1) CO2[0] + (1) Gibberellin 20[0]
rxn02707	charge_only	charge:+1		1	4	(1) O2-[0] + (1) beta-Carotene[0] => (1) H+[0] + (1) Zeaxanthin[0]
rxn02723	H_O_charge	H:-2,O:+1		2	4	(1) Gluconolactone[0] + (1) Sinapoyl-CoA[0] => (1) CoA[0] + (1) O-Sinapoylglucarolactone[0]
rxn02730	charge_only	charge:-1	O2	1	6	(2) H+[0] + (1) O2-[0] + (1) Methylmalonate[0] <= (1) H2O[0] + (1) O2[0] + (1) 3-Oxo-2-methylpropanoate[0]
rxn02731	H_O_charge	H:+1,O:-1,charge:+1			2	(1) Methylmalonate[0] <= (1) 3-Oxo-2-methylpropanoate[0]
rxn02736	H_O_charge	H:+2,O:+3		2	4	(1) UDP-L-rhamnose[0] + (1) Flavonol 3-O-D-glucoside[0] <=> (1) UDP[0] + (1) Flavonol 3-O-[beta-L-rhamnosyl-(1->6)-beta-
rxn02757	skeleton:C	C:-2,H:-2,O:-1			2	(1) Acetylindoxyl[0] <= (1) Indoxyl[0]
rxn02769	charge_only	charge:+2		2	6	(1) H2O[0] + (1) ATP[0] + (1) Hypotaurocyamine[0] <=> (1) ADP[0] + (3) H+[0] + (1) N-Phosphotaurocyamine[0]
rxn02776	charge_only	charge:-4		2	5	(2) S-Adenosyl-L-methionine[0] + (2) H+[0] + (1) Uroporphyrin III[0] <=> (2) S-Adenosyl-homocysteine[0] + (1) Sirohydroc
rxn02777	skeleton:N	H:+6,N:+2,O:-3,charge:+2			3	(1) Ni2+[0] + (1) Precorrin 2[0] <=> (1) Factor F430[0]
rxn02781	skeleton:C	C:+1,H:+2		2	2	(1) Xanthurenate[0] <= (1) 8-Methoxykynurenate[0]
rxn02793	charge_only	charge:-4			3	(5) H+[0] + (1) L-3-Cyanoalanine[0] <= (1) L-2,4-Diaminobutyrate[0]
rxn02806	charge_only	charge:-2			5	(1) CO2[0] + (2) H+[0] + (1) D-Citramalate[0] <= (1) H2O[0] + (1) Parapyruvate[0]
rxn02813	skeleton:Cl	Cl:-1,charge:+1		4	4	(1) Thioglycolate[0] + (1) 3-Chloro-L-alanine[0] <=> (1) H+[0] + (1) L-Carbocisteine[0]
rxn02838	charge_only	charge:+2	O2		5	(1) H2O[0] + (1) Dihydroxyindole[0] <= (1) O2[0] + (2) H+[0] + (1) Indoxyl[0]
rxn02846	skeleton:N	H:+4,N:+1,O:-1,charge:+1			2	(1) 3-Phosphonopyruvate[0] <= (1) Phosphonoalanine[0]
rxn02856	charge_only	charge:-2			5	(1) CO2[0] + (2) H+[0] + (1) 4-Imidazoleacetate[0] <= (1) H2O[0] + (1) Imidazole pyruvate[0]
rxn02859	skeleton:C,N	C:+7,H:+7,N:+2,O:+1,charge:-1	H2O2+O2	1	6	(2) H2O[0] + (2) O2[0] + (1) 1-Methylnicotinamide[0] <= (2) H2O2[0] + (1) N'-Methyl-2-pyridone-5-carboxamide[0] + (1) 1-
rxn02870	skeleton:Cl	Cl:-1,charge:+1		3	4	(1) H2O[0] + (1) 4-Chlorobenzoyl-CoA[0] <=> (1) H+[0] + (1) 4-Hydroxybenzoyl-CoA[0]
rxn02953	skeleton:C,N,S	C:-2,H:-6,N:-1,O:+1,S:-1,charge:-1		6	7	(1) ATP[0] + (1) L-Cysteine[0] + (1) Phosphopantetheine[0] => (1) ADP[0] + (1) Phosphate[0] + (1) H+[0] + (1) (R)-4'-Pho
rxn02954	skeleton:C,N,S	C:-2,H:-8,N:-1,O:+1,S:-1,charge:-3		6	6	(1) CTP[0] + (1) L-Cysteine[0] + (1) Phosphopantetheine[0] => (1) PPi[0] + (1) CMP[0] + (1) (R)-4'-Phosphopantothenoyl-L
rxn02955	skeleton:C,N,S	C:-2,H:-6,N:-1,O:+1,S:-1,charge:-1		6	7	(1) CTP[0] + (1) L-Cysteine[0] + (1) Phosphopantetheine[0] => (1) Phosphate[0] + (1) H+[0] + (1) CDP[0] + (1) (R)-4'-Pho
rxn02963	oxygen_only	O:+1		1	2	(1) Ciliatine[0] => (1) 1-Hydroxy-2-aminoethylphosphonate[0]
rxn02964	skeleton:C	C:+1,H:+2			2	(1) Ciliatine[0] <= (1) 2-Methylaminoethylphosphonate[0]
rxn02965	H_O_charge	H:-1,O:+1,charge:-1			2	(1) Phosphonoacetaldehyde[0] => (1) Fosfonet[0]
rxn02966	skeleton:C	C:+24,H:+37,O:+4,charge:-1			2	(1) Ciliatine[0] => (1) 2-Aminoethylphosphocholate[0]
rxn02968	oxygen_only	O:+1		1	2	(1) Resveratrol[0] => (1) Piceatannol[0]
rxn02984	H_O_charge	H:+4,O:+3	NH3		4	(1) 4-Imidazolone-5-propanoate[0] => (1) NH3[0] + (1) Formate[0] + (1) 4-Oxoglutaramate[0]
rxn02987	oxygen_only	O:-1		4	4	(1) H2O[0] + (1) 3-Hydroxy-3-(4-methylpent-3-en-1-yl)glutaryl-CoA[0] <= (1) Acetate[0] + (1) 7-Methyl-3-oxooctanoyl-CoA[
rxn03006	skeleton:C,N,P	C:-63,H:-81,N:-21,O:-51,P:-9,charge:+9	NADP+O2	1	6	(4) H2O[0] + (3) NADP[0] + (1) CO2[0] + (1) Lathosterol[0] <= (3) O2[0] + (1) Methostenol[0]
rxn03028	skeleton:P	H:-8,O:-16,P:-4,charge:+4		6	6	(2) H2O[0] + (4) ATP[0] + (1) Citrate[0] + (2) N6-Acetyl-N6-hydroxylysine[0] <= (4) ADP[0] + (1) Aerobactin[0]
rxn03081	skeleton:C	C:-1,H:-1,O:+1,charge:-1			4	(1) Chinone[0] + (1) 6-7-Dimethyl-8--1-D-ribityllumazine[0] => (1) Quinol[0] + (1) 7-Hydroxy-6-methyl-8-ribityl lumazine
rxn03083	H_O_charge	H:+6,O:+1	H2O2	1	5	(1) H2O2[0] + (1) 1,2-Bis(3,4-dimethoxyphenyl)propane-1,3-diol[0] => (4) H2O[0] + (1) Veratraldehyde[0] + (1) 1-(3,4-Dim
rxn03103	skeleton:Cl	Cl:-1,charge:+1			3	(1) 2-Chloro-5-oxo-2,5-dihydrofuran-2-acetate[0] <= (1) H+[0] + (1) 4-Carboxymethylenebut-2-en-4-olide[0]
rxn03115	charge_only	charge:-2		4	4	(2) H+[0] + (1) 13(S)-HPOT[0] <=> (1) H2O[0] + (1) 13(S)-EOD[0]
rxn03118	H_O_charge	H:+1,O:-1,charge:+1			2	(1) 3-Hydroxy-2-methylpyridine-4,5-dicarboxylate[0] <= (1) 5-Formyl-3-hydroxy-2-methylpyridine-4-carboxylate[0]
rxn03128	H_O_charge	H:+2,O:-1			4	(1) Propionyl-CoA[0] + (1) Chenodeoxycholoyl-CoA[0] <= (1) CoA[0] + (1) 3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA[0
rxn03163	H_O_charge	H:-3,O:+1,charge:-1			2	(1) 20-OH-LTB4[0] => (1) 20-COOH-LTB4[0]
rxn03172	skeleton:C,S	C:+1,H:-4,O:-1,S:+2,charge:-4			4	(2) H2O[0] + (1) 7,8-Dihydroneopterin 3'-triphosphate[0] <= (2) Phosphate[0] + (1) Molybdopterin[0]
rxn03189	skeleton:C	C:-1			2	(1) 14-Demethyllanosterol[0] => (1) 4alpha-Methylcholesta-8-en-3beta-ol[0]
rxn03190	skeleton:C,N,P	C:+97,H:+118,N:+42,O:+109,P:+18,charge:-18	NADPH+O2	1	5	(2) CO2[0] + (1) Zymosterol[0] => (6) NADPH[0] + (6) O2[0] + (6) H+[0]
rxn03191	skeleton:C	C:-2,H:-5,charge:+1	NADP+NADPH		4	(1) NADPH[0] + (1) 24,25-Dihydrolanosterol[0] <=> (1) NADP[0] + (1) 4alpha-Methylcholesta-8-en-3beta-ol[0]
rxn03197	charge_only	charge:+2	NADP+NADPH+O2	1	8	(1) NADPH[0] + (1) O2[0] + (1) 17alpha,20alpha-Dihydroxycholesterol[0] => (1) H2O[0] + (1) NADP[0] + (1) H+[0] + (1) Iso
rxn03209	charge_only	charge:-2	O2	1	5	(1) O2[0] + (2) H+[0] + (1) (S)-N-Methylcoclaurine[0] => (1) H2O[0] + (1) (S)-3'-Hydroxy-N-methylcoclaurine[0]
rxn03225	H_O_charge	H:+1,O:-1,charge:+1		4	3	(1) 3-Hexaprenyl-4,5-dihydroxybenzoate[0] <= (1) CO2[0] + (1) 2-Hexaprenylphenol[0]
rxn03237	H_O_charge	H:-7,O:-1,charge:-3		4	4	(3) H2O[0] + (1) 2-Amino-4-oxo-6-(erythro-1',2',3'-trihydroxypropyl)-7,8- dihydroxypteridine triphosphate[0] <=> (3) Pho
rxn03257	charge_only	charge:+4	NADP+NADPH		5	(1) NADPH[0] + (1) 19-Hydroxyandrostenedione[0] => (1) NADP[0] + (3) H+[0] + (1) 19-Oxoandrostendione[0]
rxn03259	charge_only	charge:+4			5	(1) S-Adenosyl-L-methionine[0] + (1) Desmosterol[0] => (1) S-Adenosyl-homocysteine[0] + (5) H+[0] + (1) 5,7,22,24(28)-Er
rxn03262	skeleton:C	C:-2,H:-4,O:-2			2	(1) Salutaridinol acetate[0] <=> (1) Thebaine[0]
rxn03266	oxygen_only	O:+1			2	(1) Selenomethionine[0] <=> (1) Selenomethionine se-oxide[0]
rxn03276	charge_only	charge:+2		1	3	(1) Phytofluene[0] => (2) H+[0] + (1) zeta-Carotene[0]
rxn03280	skeleton:C	C:+1,H:+6,O:+1,charge:+2			5	(1) Chlorophyllide[0] + (1) Phytyl diphosphate[0] <=> (1) PPi[0] + (1) Mg[0] + (1) Bacterio-pheophytins[0]
rxn03285	skeleton:S	H:-1,O:+4,S:+1,charge:-1			2	(1) 5beta-Cholestane-3alpha,7alpha,12alpha,26-tetrol[0] => (1) 5beta-Cyprinolsulfate[0]
rxn03338	charge_only	charge:-2		4	4	(1) CO2[0] + (2) H+[0] + (1) DHI[0] <= (1) Leucodopachrome[0]
rxn03348	skeleton:C	C:-2,H:+2,O:+1	NAD+NADH		4	(1) NADH[0] + (1) PACT[0] => (1) NAD[0] + (1) 6-Hydroxyhexanoate[0]
rxn03349	skeleton:C	C:-2,H:-1,O:+1,charge:-3	NADP+NADPH		5	(1) H2O[0] + (1) NADP[0] + (1) PACT[0] => (1) NADPH[0] + (1) Adipate[0]
rxn03350	oxygen_only	O:-1			2	(1) Melilotate[0] <= (1) Phenylpropanoate[0]
rxn03355	charge_only	charge:+2		1	4	(1) H2O[0] + (1) 5-Hydroxyindoleacetaldehyde[0] => (3) H+[0] + (1) 5-Hydroxyindoleacetate[0]
rxn03357	skeleton:C,N	C:+2,H:+3,N:+1,O:+1		6	2	(1) 5-Hydroxyindoleacetate[0] <=> (1) 5-Hydroxyindoleacetylglycine[0]
rxn03370	skeleton:C	C:+1,H:+2			2	(1) 2-Methylaminoethylphosphonate[0] <=> (1) 2-Dimethylaminoethylphosphonate[0]
rxn03375	charge_only	charge:+2			2	(2) Selenocysteine[0] <=> (1) Selenocystine[0]
rxn03376	charge_only	charge:+3			3	(1) O2-[0] + (1) Selenocysteine[0] <=> (1) Selenocysteine selenate[0]
rxn03377	skeleton:C	C:+3,H:+5,O:+1,charge:+1			2	(1) Selenocysteine[0] <=> (1) Se-Propenylselenocysteine se-oxide[0]
rxn03381	charge_only	charge:+2			3	(2) Selenohomocysteine[0] <=> (2) H+[0] + (1) Selenohomocystine[0]
rxn03385	charge_only	charge:-1	NH3		6	(6) NH3[0] + (1) 1-Aminopropan-2-ol[0] + (1) Cobyrinate[0] <=> (7) H2O[0] + (3) H+[0] + (1) Cobinamide[0]
rxn03387	charge_only	charge:-6		3	5	(2) H2O[0] + (4) H+[0] + (1) Bilirubin-bisglucuronoside[0] <=> (2) Glucuronate[0] + (1) D-Urobilinogen[0]
rxn03396	charge_only	charge:+2	NADP+NADPH+O2	1	7	(1) NADPH[0] + (1) O2[0] + (1) 2-Octaprenyl-6-methoxyphenol[0] => (1) H2O[0] + (1) NADP[0] + (1) H+[0] + (1) 2-Octapreny
rxn03399	skeleton:N,P	H:-9,N:-8,O:-4,P:-2,charge:+1		6	3	(1) (2,3-Dihydroxybenzoyl)adenylate[0] + (1) (L-Seryl)adenylate[0] <=> (1) Enterobactin[0]
rxn03401	skeleton:C,S	C:+6,H:+9,O:+8,S:+2,charge:-1			2	(1) Indole-3-acetaldoxime[0] <=> (1) Glucobrassicin[0]
rxn03404	oxygen_only	O:+1			2	(1) 2-Hydroxyphenylacetate[0] => (1) 2,6-Dihydroxyphenylacetate[0]
rxn03420	skeleton:C	C:-2,H:-1,O:-3,charge:+1		6	3	(1) Formate[0] + (1) Formamidopyrimidine nucleoside triphosphate[0] <= (1) 2,5-Diaminopyrimidine nucleoside triphosphate
rxn03441	charge_only	charge:-2	NH3		5	(1) NH3[0] + (2) H+[0] + (1) Parapyruvate[0] <= (1) H2O[0] + (1) 4-Hydroxy-4-methylglutamate[0]
