reaction_id	category	confidence	kegg_verdict	contradicting_markers	added
rxn11796	couple_agent:methyl	agent	kegg_incomplete		cpd00017,cpd00019
rxn11797	couple_agent:methyl	agent	kegg_incomplete		cpd00017,cpd00019
rxn11800	couple_agent:methyl	agent	kegg_incomplete		cpd00017,cpd00019
rxn11868	couple_agent:methyl	agent	kegg_incomplete		cpd00017,cpd00019
rxn11869	couple_agent:methyl	agent	kegg_incomplete		cpd00017,cpd00019
rxn11870	couple_agent:methyl	agent	kegg_incomplete		cpd00017,cpd00019
rxn11872	couple_agent:methyl	agent	kegg_incomplete		cpd00017,cpd00019
rxn12098	couple_agent:methyl	agent	kegg_incomplete		cpd00017,cpd00019
rxn15637	couple_agent:methyl	agent	kegg_incomplete		cpd00017,cpd00019
rxn16693	couple_agent:methyl	agent	kegg_incomplete		cpd00017,cpd00019
