id,name,abbreviation,ec_numbers,reversibility,deltag,deltagerr,definition,is_transport,rxn_smiles
rxn00014,ferrocytochrome-c:hydrogen-peroxide oxidoreductase,R00017,['1.11.1.5'],?,10000000.0,10000000.0,(1) H2O2[0] + (2) H+[0] + (2) Cytochrome c2+[0] <=> (2) H2O[0] + (2) Cytochrome c3+[0],0,OO.[H+].[H+].*NC(=O)[C@H](CSC(C)C1=C(C)C2=N/C1=C\c1c(C)c(CCC(=O)[O-])c3n1[Fe]n1/c(c(C)c(C(C)SC[C@H](NC(*)=O)C(=O)N*)/c1=C/2)=C\C1=N/C(=C\3)C(CCC(=O)[O-])=C1C)NC(*)=O.*NC(=O)[C@H](CSC(C)C1=C(C)C2=N/C1=C\c1c(C)c(CCC(=O)[O-])c3n1[Fe]n1/c(c(C)c(C(C)SC[C@H](NC(*)=O)C(=O)N*)/c1=C/2)=C\C1=N/C(=C\3)C(CCC(=O)[O-])=C1C)NC(*)=O>>O.O.*NC(=O)[C@H](CSC(C)C1=C(C)C2=N/C1=C\c1c(C)c(CCC(=O)[O-])c3n1[Fe+]n1/c(c(C)c(C(C)SC[C@H](NC(*)=O)C(=O)N*)/c1=C/2)=C\C1=N/C(=C\3)C(CCC(=O)[O-])=C1C)NC(*)=O.*NC(=O)[C@H](CSC(C)C1=C(C)C2=N/C1=C\c1c(C)c(CCC(=O)[O-])c3n1[Fe+]n1/c(c(C)c(C(C)SC[C@H](NC(*)=O)C(=O)N*)/c1=C/2)=C\C1=N/C(=C\3)C(CCC(=O)[O-])=C1C)NC(*)=O
rxn00015,putrescine:putrescine 4-aminobutyltransferase (ammonia-forming),R00018,['2.5.1.44'],=,-1.2,1.08,(2) Putrescine[0] <=> (1) NH3[0] + (1) Homospermidine[0],0,[NH3+]CCCC[NH3+].[NH3+]CCCC[NH3+]>>[NH4+].[NH3+]CCCC[NH2+]CCCC[NH3+]
rxn00016,chitobiose N-acetylglucosaminohydrolase,R00022,['3.2.1.52'],=,-3.2,0.86,(1) H2O[0] + (1) Chitobiose[0] <=> (2) N-Acetyl-D-glucosamine[0],0,O.CC(=O)N[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](NC(C)=O)C(O)O[C@@H]2CO)O[C@H](CO)[C@@H](O)[C@@H]1O>>CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O.CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O
rxn00017,hydroxylamine:NAD+ oxidoreductase,R00023,['1.7.1.5'],=,18.48,13.84,(2) NAD[0] + (2) Hydroxylamine[0] <=> (2) NADH[0] + (2) H+[0] + (1) Hyponitrite[0],0,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.NO.NO>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+].[H+].O=NNO
rxn00018,"3-phospho-D-glycerate carboxy-lyase (dimerizing; D-ribulose-1,5-bisphosphate-forming)",R00024,['4.1.1.39'],=,-6.24,0.92,"(1) H2O[0] + (1) CO2[0] + (1) D-Ribulose 1,5-bisphosphate[0] <=> (2) H+[0] + (2) 3-Phosphoglycerate[0]",0,O.O=C=O.O=C(COP(=O)([O-])[O-])[C@H](O)[C@H](O)COP(=O)([O-])[O-]>>[H+].[H+].O=C([O-])[C@H](O)COP(=O)([O-])[O-].O=C([O-])[C@H](O)COP(=O)([O-])[O-]
rxn00019,2-Nitropropane:oxygen 2-oxidoreductase,2NPDO,['1.13.11.32'],?,10000000.0,10000000.0,(1) O2[0] + (2) 2-Nitropropane[0] <=> (2) Nitrite[0] + (2) Acetone[0],0,O=O.CC(C)[N+](=O)[O-].CC(C)[N+](=O)[O-]>>O=NO.O=NO.CC(C)=O.CC(C)=O
rxn00020,cellobiose glucohydrolase,R00026,['3.2.1.21'],=,-2.63,0.42,(1) H2O[0] + (1) CELB[0] <=> (2) beta-D-Glucose[0],0,O.OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O>>OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O.OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O
rxn00021,"2-hydroxy-1,2-diphenylethanone benzaldehyde-lyase (benzaldehyde-forming)",R00027,['4.1.2.38'],=,2.81,0.44,(1) Benzoin[0] <=> (2) Benzaldehyde[0],0,O=C(c1ccccc1)C(O)c1ccccc1>>O=Cc1ccccc1.O=Cc1ccccc1
rxn00022,maltose glucohydrolase,R00028,['3.2.1.20'],=,-3.48,0.38,(1) H2O[0] + (1) Maltose[0] <=> (2) D-Glucose[0],0,O.OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O>>OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O.OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
rxn00023,thiosulfate:ferricytochrome-c oxidoreductase,R00029,['1.8.2.2'],?,10000000.0,10000000.0,(2) Cytochrome c3+[0] + (2) H2S2O3[0] <=> (2) H+[0] + (2) Cytochrome c2+[0] + (1) Tetrathionate[0],0,*NC(=O)[C@H](CSC(C)C1=C(C)C2=N/C1=C\c1c(C)c(CCC(=O)[O-])c3n1[Fe+]n1/c(c(C)c(C(C)SC[C@H](NC(*)=O)C(=O)N*)/c1=C/2)=C\C1=N/C(=C\3)C(CCC(=O)[O-])=C1C)NC(*)=O.*NC(=O)[C@H](CSC(C)C1=C(C)C2=N/C1=C\c1c(C)c(CCC(=O)[O-])c3n1[Fe+]n1/c(c(C)c(C(C)SC[C@H](NC(*)=O)C(=O)N*)/c1=C/2)=C\C1=N/C(=C\3)C(CCC(=O)[O-])=C1C)NC(*)=O.O=S(=O)([O-])S.O=S(=O)([O-])S>>[H+].[H+].*NC(=O)[C@H](CSC(C)C1=C(C)C2=N/C1=C\c1c(C)c(CCC(=O)[O-])c3n1[Fe]n1/c(c(C)c(C(C)SC[C@H](NC(*)=O)C(=O)N*)/c1=C/2)=C\C1=N/C(=C\3)C(CCC(=O)[O-])=C1C)NC(*)=O.*NC(=O)[C@H](CSC(C)C1=C(C)C2=N/C1=C\c1c(C)c(CCC(=O)[O-])c3n1[Fe]n1/c(c(C)c(C(C)SC[C@H](NC(*)=O)C(=O)N*)/c1=C/2)=C\C1=N/C(=C\3)C(CCC(=O)[O-])=C1C)NC(*)=O.O=S(=O)([O-])SSS(=O)(=O)[O-]
