compound_id,frequency,name
cpd00703,72,Indoleacetate
cpd00147,71,5-Methylthioadenosine
cpd39599,71,"a 1,2-diacyl-sn-glycerol"
cpd01741,70,ddca
cpd43296,70,L-lysyl-[protein]
cpd00122,68,N-Acetyl-D-glucosamine
cpd00079,68,D-glucose-6-phosphate
cpd11611,68,Acyl-CoA
cpd36163,68,Peptides-holder
cpd11632,67,hn
cpd27839,67,Peptides
cpd22234,66,ACYL-COA
cpd00159,65,L-Lactate
cpd00187,65,Methanamine
cpd00232,65,Neu5Ac
cpd01260,65,Lauroyl-CoA
cpd15269,65,octadecenoate
cpd00111,64,Oxidized glutathione
cpd00094,64,2-Oxobutyrate
cpd00138,64,D-Mannose
cpd00119,63,L-Histidine
cpd10516,62,Fe+3
cpd00156,62,L-Valine
cpd00322,62,L-Isoleucine
cpd00507,61,Glycerophosphocholine
cpd00709,61,beta D-Galactose
cpd35508,61,UDP-GalNAc
cpd00028,60,Heme
cpd00115,60,dATP
cpd11723,60,Reduced adrenodoxin
cpd11724,60,Oxidized adrenodoxin
cpd42062,60,oxidized [electron-transfer flavoprotein]
cpd00101,59,ribose-5-phosphate
cpd00175,59,UDP-N-acetyl-D-galactosamine
cpd40011,59,an acyl-CoA
cpd00096,58,CDP
cpd02246,58,CoM
cpd00599,57,SALC
cpd00093,57,Anthranilate
cpd00241,57,dGTP
cpd04098,57,Arsenite
cpd03851,57,Eicosapentaenoic acid
cpd27735,57,Ox-Thioredoxin
cpd39974,57,"a 1,2-diacyl-sn-glycero-3-phosphocholine"
cpd00415,56,Quinol
cpd00074,56,S
cpd00908,56,Glycerophosphoethanolamine
cpd26675,56,Carboxylates
cpd00150,55,HCN
cpd00139,55,Glycolate
cpd00401,55,Benzoyl-CoA
cpd00120,55,Butyryl-CoA
cpd00272,55,GDP-L-fucose
cpd00441,55,(CH3)3N
cpd02113,55,dTDP-rhamnose
cpd00623,55,Sphinganine
cpd11669,55,Q
cpd28060,55,Red-Thioredoxin
cpd00077,54,Catechol
cpd00072,54,D-fructose-6-phosphate
cpd00264,54,Spermidine
cpd01335,54,Octanoyl-CoA
cpd27343,54,L-1-phosphatidyl-inositols
cpd22369,54,Amino-Acids-20
cpd00103,53,PRPP
cpd00132,53,L-Asparagine
cpd03637,53,Zeaxanthin
cpd01481,53,UDP-L-rhamnose
cpd00966,52,HBr
cpd22318,52,Alcohols
cpd28218,52,THF-GLU-N
cpd00169,51,3-Phosphoglycerate
cpd00146,51,Carbamoylphosphate
cpd00128,51,Adenine
cpd00153,51,Benzoate
cpd00247,51,Orotate
cpd00776,51,"Squalene 2,3-oxide"
cpd11625,51,2-Oxo acid
cpd01398,51,Linoleoyl-CoA
cpd01490,51,beta-D-Mannose
cpd19245,51,"di-trans,poly-cis-Undecaprenyl phosphate"
cpd00085,50,beta-Alanine
cpd00481,50,Isobutyryl-CoA
cpd27501,50,Menaquinones
cpd00118,49,Putrescine
cpd00428,49,2-Oxopropanal
cpd00170,49,Gluconolactone
cpd00218,49,Niacin
cpd01519,49,Arachidonyl-CoA
cpd00270,49,Caffeoyl-CoA
cpd00760,49,2-Methylbutyryl-CoA
cpd29635,49,a_quinone
cpd00868,48,p-hydroxyphenylpyruvate
cpd00237,48,Androstenedione
cpd11451,48,mql7
cpd15237,48,hexadecenoate
cpd15277,48,Palmitoyl-ACP
cpd27500,48,Menaquinols
cpd27896,48,Polyketide-ACP-Proteins
cpd01420,47,beta-Carotene
cpd00104,47,BIOT
cpd00267,47,Sphingoid
cpd00534,47,I-
cpd08685,47,Abietal
cpd19035,47,beta-D-Fructose 6-phosphate
cpd28300,47,Ubiquinols
cpd39798,47,a quinol
cpd00165,46,Hydroxylamine
cpd00457,46,Phosphocholine
cpd03128,46,Decanoyl-CoA
cpd11616,46,RCHO
cpd30321,46,beta-D-Fructose
cpd28301,46,Ubiquinones
cpd00197,45,Protocatechuate
cpd15499,45,Menaquinol 8
cpd41933,45,Fe(II)-[cytochrome c]
cpd42687,45,Fe(III)-[cytochrome c]
cpd00135,44,Homocysteine
cpd00105,44,D-Ribose
cpd00123,44,3-Methyl-2-oxobutanoate
cpd00210,44,Taurine
cpd15500,44,Menaquinone 8
cpd22422,44,BCCP-monomers
cpd39827,44,a carboxylate
cpd00056,43,TPP
cpd00182,43,Adenosine
cpd00092,43,Uracil
cpd00282,43,S-Dihydroorotate
cpd01351,43,Ubiquinone-9
cpd11623,43,L-Amino acid
cpd11652,43,Phosphatidylglycerol
cpd00724,43,alpha-D-Galactose
cpd03846,43,octanoate
cpd19490,43,Isopimaradienal
cpd40178,43,"a 1,2-diacyl-sn-glycero-3-phosphoethanolamine"
cpd01495,42,Dehydroalanine
cpd00869,42,4-methylthio 2-oxobutyrate
cpd00125,42,5-10-Methylenetetrahydrofolate
cpd00164,42,Glucuronate
cpd00863,42,beta-D-Glucose 6-phosphate
cpd01048,42,Arsenate
cpd07274,42,Plastoquinone A
cpd00766,41,Ascorbate radical
cpd00523,41,Trehalose 6-phosphate
cpd00309,41,XAN
cpd11421,41,trdrd
cpd03852,41,Docosahexaenoic acid
cpd00073,40,Urea
cpd00235,40,D-mannose-6-phosphate
cpd00321,40,Feruloyl-CoA
cpd08926,40,Phytosphingosine
cpd11735,40,Amylose
cpd12238,40,Reduced flavoprotein
cpd12264,40,Oxidized flavoprotein
cpd13404,40,C26-CoA
cpd03850,40,Linolenate
cpd19000,40,Fatty acid
cpd19488,40,Palustradienal
cpd00143,39,Phenylpyruvate
cpd00177,39,dADP
cpd01882,39,Isovaleryl-CoA
cpd00313,39,Quercetin
cpd00540,39,BET
cpd03124,39,Hexanoyl-CoA
cpd11712,39,Protein histidine
cpd11628,39,Acyl-[acyl-carrier protein]
cpd00528,39,N2
cpd22622,39,16:1-delta9-CoA
cpd25390,39,levopimaradienal
cpd25399,39,dehydroabietadienal
cpd00208,38,LACT
cpd00588,38,Sorbitol
cpd00226,38,HYXN
cpd00650,38,Crotonyl-CoA
cpd00211,38,Butyrate
cpd00167,38,Ceramide
cpd01449,38,Chlorophyllide
cpd01107,38,Decanoate
cpd19004,38,"1,2-Diacyl-sn-glycerol"
cpd24939,38,eicosanal
cpd25393,38,neoabietadienal
cpd39877,38,N-(acetyl)-sphing-4-enine
cpd00251,37,ADPribose
cpd00281,37,GABA
cpd00532,37,O2-
cpd00223,37,Glycerate
cpd00356,37,dCTP
cpd00420,37,Testosterone
cpd00256,37,CDPcholine
cpd00365,37,Retinol
cpd01393,37,Icosanoyl-CoA
cpd00450,37,Methyl sulfide
cpd01401,37,Vitamin K1
cpd03217,37,Lycopene
cpd11606,37,Menaquinone 7
cpd40004,37,a 1-acyl-sn-glycero-3-phosphocholine
cpd00367,36,Cytidine
