cpd_id	compound_name	name_queried	strategy	result_type	stored_inchikey	pubchem_inchikey	pubchem_cid	stored_smiles	pubchem_smiles	mismatch_detail
cpd38306	(+)-vincadifformine	CHEBI:142830	chebi_xref	MISMATCH	FETOMZZQYPFKRV-BJPDFRCHSA-O	GIGFIWJRTMBSRP-NJDAHSKKSA-O	6546287	CC[C@@]12CCC[NH+]3CC[C@@]4(C(=Nc5ccccc54)C(C(=O)OC)C1)[C@H]32	CC[C@]12CCC[NH+]3[C@H]1[C@]4(CC3)C5=CC=CC=C5NC4=C(C2)C(=O)OC	IGNORE:tautomer (same canonical tautomer, stored form curated for biological relevance)
cpd16558	Neosurugatoxin	C16761	kegg_xref	MISMATCH	ZUBDGHGVNOIJDX-SWTPICCNSA-N	BQGIDCZWFREXJV-FERWQKPKSA-N	46173822	C[C@@]1(O)C2=NC3C(=O)NC(=O)N=C3NC[C@H]2[C@H](C(=O)O[C@@H]2[C@@H](O)[C@@H](O)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)[C@]12C(=O)Nc1cc(Br)ccc12	C[C@]1(C2=NC3=C(NC[C@H]2[C@@H]([C@@]14C5=C(C=C(C=C5)Br)NC4=O)C(=O)O[C@@H]6[C@H]([C@H]([C@H]([C@@H]([C@H]6O[C@H]7[C@@H]([C@H]([C@@H](CO7)O)O)O)O)O)O)O)NC(=O)NC3=O)O	IGNORE:tautomer (same canonical tautomer, stored form curated for biological relevance)
cpd16559	Luteoskyrin	C16763	kegg_xref	MISMATCH	KXNUPFFSGSRABD-UHFFFAOYSA-N	FAZDYVMEXQHRLI-UHFFFAOYSA-N	30840	Cc1cc(O)c2c(c1O)C(=O)C13C(=C(O)C4C(O)C1C1C(O)C3C(O)=C3C(=O)c5c(O)cc(C)c(O)c5C(=O)C341)C2=O	CC1=CC(=C2C(=C1O)C(=O)C34C5C6C(C3C(=O)C7=C(C8=C(C=C(C(=C8C(=O)C67C(C5O)C(=O)C4=C2O)O)C)O)O)O)O	IGNORE:tautomer (same canonical tautomer, stored form curated for biological relevance)
cpd16560	Rugulosin	C16764	kegg_xref	MISMATCH	OYNIPTDPTUSUAY-UHFFFAOYSA-N	QFDPVUTXKUGISP-UHFFFAOYSA-N	62769	Cc1cc(O)c2c(c1)C(=O)C13C(=C(O)C4C(O)C1C1C(O)C3C(O)=C3C(=O)c5c(O)cc(C)cc5C(=O)C341)C2=O	CC1=CC2=C(C(=C1)O)C(=C3C(=O)C4C(C5C3(C2=O)C6C(C5C47C(=C(C8=C(C7=O)C=C(C=C8O)C)O)C6=O)O)O)O	IGNORE:tautomer (same canonical tautomer, stored form curated for biological relevance)
cpd17220	Decanoyl acetaldehyde	C16947	kegg_xref	MISMATCH	FFBZHZIOSCTWKX-UHFFFAOYSA-N	QBDCOUHKEVYWLO-UHFFFAOYSA-N	122640	CCCCCCCCCC(O)=CC=O	CCCCCCCCCC(=O)CC=O	IGNORE:tautomer (same canonical tautomer, stored form curated for biological relevance)
cpd18019	Strigolactone ABC-rings	C18036	kegg_xref	MISMATCH	MDZXZDQEMZPBHC-MAZPRZIYSA-N	UTOQMVIHBGIRGU-DTHKZTQTSA-N	46174042	CC1(C)CCCC2=C1[C@H]1OC(=O)C(C=O)[C@H]1C2	CC1(CCCC2=C1[C@@H]3[C@H](C2)/C(=C\O)/C(=O)O3)C	IGNORE:tautomer (same canonical tautomer, stored form curated for biological relevance)
cpd48349	3-methylprostreptovaricin	3-methylprostreptovaricin	name_lookup	MISMATCH	YBEYVMNVLYZSJV-OZHJPZIFSA-N	GQXDCRPWAPWXSJ-XOIHSSAHSA-N	138319327	CC1=C2NC(=O)/C(C)=C/C=C\[C@@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](O)[C@H](C)[C@H](O)[C@H](C)/C=C(/C)C(=O)C3=C(O)C(C)C(O)C(=C3C1=O)C2=O	C[C@@H]1/C=C\C=C(\C(=O)N=C2C(=C(C3=C(C(=O)C(C(C3=C2O)O)C)C(=O)/C(=C/[C@H]([C@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)O)C)O)C)/C)O)C)/C	IGNORE:tautomer (same canonical tautomer, stored form curated for biological relevance)
cpd35434	7,8-dihydrolumazine	7,8-dihydrolumazine	name_lookup	MISMATCH	FPOUMCUOOCJXQF-UHFFFAOYSA-N	MYJNEEHZESREMO-UHFFFAOYSA-N	590555	O=C1N=C2NCC=NC2C(=O)N1	C1C=NC2=C(N1)NC(=O)NC2=O	IGNORE:tautomer (same canonical tautomer, stored form curated for biological relevance)
cpd35554	"cyanidin 3-<i>O</i>-[2""-<i>O</i>-xylosyl) 6""-<i>O</i>-(caffeoyl) glucoside"	cyanidin 3-O-beta-D-(caffeoyl)-sambubioside	name_lookup	MISMATCH	SAMOBDXITATWFO-UGRQFWOBSA-N	DBIHSUXYSXVCQG-UGRQFWOBSA-N	102515449	O=C(/C=C/c1ccc(O)c(O)c1)OC[C@H]1O[C@@H](Oc2cc3c(=O)cc(O)cc-3oc2-c2ccc(O)c(O)c2)[C@H](O[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O	C1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=C(OC4=CC(=O)C=C(C4=C3)O)C5=CC(=C(C=C5)O)O)COC(=O)/C=C/C6=CC(=C(C=C6)O)O)O)O)O)O)O	IGNORE:tautomer (same canonical tautomer, stored form curated for biological relevance)
cpd35966	6-[3-hydroxy-2-(3,5,7-trioxononanoyl)phenyl]-3,5-dioxohexanoate	6-[3-hydroxy-2-(3,5,7-trioxononanoyl)phenyl]-3,5-dioxohexanoate	name_lookup	MISMATCH	ITCSJVPQPGQHQD-UHFFFAOYSA-M	FEZACAATIBBDPS-UHFFFAOYSA-M	90658284	CCC(=O)C=C(O)CC(=O)CC(=O)c1c(O)cccc1CC(=O)CC(=O)CC(=O)[O-]	CCC(=O)CC(=O)CC(=O)CC(=O)C1=C(C=CC=C1O)CC(=O)CC(=O)CC(=O)[O-]	IGNORE:tautomer (same canonical tautomer, stored form curated for biological relevance)
cpd32624	mitomycin C	mitomycin C	name_lookup	MISMATCH	LDAPFIAQYZHVDM-PVPLFISHSA-N	NWIBSHFKIJFRCO-WUDYKRTCSA-N	5746	CO[C@@]12C(COC(N)=O)=C3C(=O)C(N)=C(C)C(=O)C3N1C[C@@H]1N[C@@H]12	CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N	IGNORE:tautomer (same canonical tautomer, stored form curated for biological relevance)
cpd32797	2-(hydroxylamino)benzoyloctanoate	2-(hydroxylamino)benzoyloctanoate	name_lookup	MISMATCH	KZTVOVSNLMLLKK-UHFFFAOYSA-N	UUSKXLWDKYIARK-UHFFFAOYSA-N	122706201	CCCCCCCC(O)=CC(=O)c1ccccc1NO	CCCCCCCC(=O)CC(=O)C1=CC=CC=C1NO	IGNORE:tautomer (same canonical tautomer, stored form curated for biological relevance)
cpd32899	glandicoline A	glandicoline A	name_lookup	MISMATCH	PRXCCHFUQXVSNT-CXUHLZMHSA-N	IQKCBJLWCVXJOG-CXUHLZMHSA-N	91820007	C=CC(C)(C)C12CC(=O)C(=O)N3/C(=C/c4c[nH]cn4)C(=O)NC31Nc1ccccc12	CC(C)(C=C)C12C=C(C(=O)N\3C1(NC4=CC=CC=C24)NC(=O)/C3=C\C5=CN=CN5)O	IGNORE:tautomer (same canonical tautomer, stored form curated for biological relevance)
