cpd_id	name_queried	strategy	result_type	stored_inchikey	pubchem_inchikey	pubchem_cid	stored_smiles	pubchem_smiles
cpd01009	C01410	kegg_xref	PROTONATION_DIFF	FYYSQDHBALBGHX-YFKPBYRVSA-M	FYYSQDHBALBGHX-YFKPBYRVSA-N	82035	CC(C)(C)OC(=O)N[C@@H](CC(N)=O)C(=O)[O-]	
cpd01017	CHEBI:61694	chebi_xref	PROTONATION_DIFF	ZUKPVRWZDMRIEO-VKHMYHEASA-M	ZUKPVRWZDMRIEO-VKHMYHEASA-N	7098621	[NH3+][C@@H](C[S-])C(=O)NCC(=O)[O-]	
cpd01021	C01425	kegg_xref	PROTONATION_DIFF	KOSRFJWDECSPRO-WDSKDSINSA-L	KOSRFJWDECSPRO-WDSKDSINSA-N	439500	[NH3+][C@@H](CCC(=O)[O-])C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-]	
cpd01028	CHEBI:57676	chebi_xref	PROTONATION_DIFF	UUNPIWCQMVNINR-UHFFFAOYSA-N	UUNPIWCQMVNINR-UHFFFAOYSA-M	25203706	COc1cc(O)cc2c1C(=O)c1c(O)cc(C)cc1C2=O	
cpd01029	CHEBI:77674	chebi_xref	PROTONATION_DIFF	WYROLENTHWJFLR-ACLDMZEESA-N	WYROLENTHWJFLR-ACLDMZEESA-O	135440067	Nc1nc2[nH]cc(CN[C@H]3C=C[C@H](O)[C@@H]3O)c2c(=O)[nH]1	
cpd01032	C01453	kegg_xref	PROTONATION_DIFF	YLJREFDVOIBQDA-UHFFFAOYSA-O	YLJREFDVOIBQDA-UHFFFAOYSA-N	1935	Nc1c2c([nH+]c3ccccc13)CCCC2	
cpd01033	C01454	kegg_xref	PROTONATION_DIFF	LPNBBFKOUUSUDB-UHFFFAOYSA-M	LPNBBFKOUUSUDB-UHFFFAOYSA-N	7470	Cc1ccc(C(=O)[O-])cc1	
cpd01037	C01458	kegg_xref	PROTONATION_DIFF	SBBWEQLNKVHYCX-JTQLQIEISA-O	SBBWEQLNKVHYCX-JTQLQIEISA-N	70364	CCOC(=O)[C@@H]([NH3+])Cc1ccc(O)cc1	
cpd01038	CHEBI:57963	chebi_xref	PROTONATION_DIFF	SGEWCQFRYRRZDC-VPRICQMDSA-L	SGEWCQFRYRRZDC-VPRICQMDSA-M	49791957	O=c1cc(-c2ccc(O)cc2)oc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c([O-])cc([O-])c12	
cpd01065	C01505	kegg_xref	PROTONATION_DIFF	FYSKZKQBTVLYEQ-FSLKYBNLSA-Q	FYSKZKQBTVLYEQ-FSLKYBNLSA-N	5311111	NC(=[NH2+])NCCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CO)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=[NH2+])NC(=O)[C@@H]([NH3+])CCCC[NH3+])C(=O)[O-]	
cpd01073	C01517	kegg_xref	PROTONATION_DIFF	CMWTZPSULFXXJA-VIFPVBQESA-M	CMWTZPSULFXXJA-VIFPVBQESA-N	156391	COc1ccc2cc([C@H](C)C(=O)[O-])ccc2c1	
